source_pair_id,positions,winning_positions,total_profit,avg_position_pnl,avg_support_pair_count,position_win_rate,shortlist_priority,shortlist_role,long_param_id,short_param_id
combined__cand_002_AVAX_USDT__4h_ema15_dist0.008__short_cand_088_ETH_USDT__4h_ema20_dist0.000,76,46,350.0238095761951,4.605576441792041,4.526315789473684,0.6052631578947368,1,primary,cand_002_AVAX_USDT__4h_ema15_dist0.008,short_cand_088_ETH_USDT__4h_ema20_dist0.000
combined__cand_002_AVAX_USDT__4h_ema15_dist0.008__short_cand_088_ETH_USDT__4h_ema15_dist0.000,2,1,8.333333333333341,4.1666666666666705,2.5,0.5,3,throughput_variant,cand_002_AVAX_USDT__4h_ema15_dist0.008,short_cand_088_ETH_USDT__4h_ema15_dist0.000
combined__cand_002_AVAX_USDT__4h_ema15_dist0.000__short_cand_088_ETH_USDT__4h_ema20_dist0.000,6,2,-3.3333333333333623,-0.5555555555555604,2.0,0.3333333333333333,2,secondary,cand_002_AVAX_USDT__4h_ema15_dist0.000,short_cand_088_ETH_USDT__4h_ema20_dist0.000
