trade_id,event_kind,source_pair_id,support_pair_ids,support_pair_count,support_pair_expectancy_mean,side,symbol,signal_dt,entry_dt,exit_dt,entry_ref_price,entry_fill_price,exit_ref_price,exit_fill_price,size,gross_price_pnl,entry_fee_allocated,exit_fee,spread_cost,slippage_cost,pnl,reason,latency_bars,partial_fill_ratio,rejected_entry_flag,friction_preset
18.0,exit_fragment,combined__cand_002_AVAX_USDT__4h_ema15_dist0.008__short_cand_088_ETH_USDT__4h_ema20_dist0.000,combined__cand_002_AVAX_USDT__4h_ema15_dist0.008__short_cand_088_ETH_USDT__4h_ema20_dist0.000,1,2.8093317976574874,short,DOGE/USDT,2023-09-06,2023-09-07 00:00:00,2023-10-09 00:00:00,0.06364,0.063569996,0.058100189803220584,0.058164100012004116,1169.2335224817882,6.320754808214598,0.0371640851736166,0.0340037077695093,0.04075961374828804,0.03396634479024004,6.249587015271473,tp1_scale_out,0,1.0,False,baseline
20.0,exit_fragment,combined__cand_002_AVAX_USDT__4h_ema15_dist0.000__short_cand_088_ETH_USDT__4h_ema20_dist0.000,combined__cand_002_AVAX_USDT__4h_ema15_dist0.000__short_cand_088_ETH_USDT__4h_ema20_dist0.000,1,2.710105416612176,short,DOGE/USDT,2023-09-06,2023-09-07 00:00:00,2023-10-09 00:00:00,0.06364,0.063569996,0.058100189803220584,0.058164100012004116,1169.2335224817882,6.320754808214598,0.0371640851736166,0.0340037077695093,0.04075961374828804,0.03396634479024004,6.249587015271473,tp1_scale_out,0,1.0,False,baseline
17.0,exit_fragment,combined__cand_002_AVAX_USDT__4h_ema15_dist0.008__short_cand_088_ETH_USDT__4h_ema20_dist0.000,combined__cand_002_AVAX_USDT__4h_ema15_dist0.008__short_cand_088_ETH_USDT__4h_ema20_dist0.000,1,2.8093317976574874,short,BNB/USDT,2023-09-06,2023-09-07 00:00:00,2023-10-09 00:00:00,215.2,215.04936,202.98744049600532,203.1295317043525,0.526858173029163,6.280058958666167,0.05665025646034539,0.05351022698101231,0.04277823681903652,0.03208367761427739,6.16989847522481,tp1_scale_out,0,1.0,False,baseline
19.0,exit_fragment,combined__cand_002_AVAX_USDT__4h_ema15_dist0.000__short_cand_088_ETH_USDT__4h_ema20_dist0.000,combined__cand_002_AVAX_USDT__4h_ema15_dist0.000__short_cand_088_ETH_USDT__4h_ema20_dist0.000,1,2.710105416612176,short,BNB/USDT,2023-09-06,2023-09-07 00:00:00,2023-10-09 00:00:00,215.2,215.04936,202.98744049600532,203.1295317043525,0.526858173029163,6.280058958666167,0.05665025646034539,0.05351022698101231,0.04277823681903652,0.03208367761427739,6.16989847522481,tp1_scale_out,0,1.0,False,baseline
17.0,exit_fragment,combined__cand_002_AVAX_USDT__4h_ema15_dist0.008__short_cand_088_ETH_USDT__4h_ema20_dist0.000,combined__cand_002_AVAX_USDT__4h_ema15_dist0.008__short_cand_088_ETH_USDT__4h_ema20_dist0.000,1,2.8093317976574874,short,BNB/USDT,2023-09-06,2023-09-07 00:00:00,2023-10-16 00:00:00,215.2,215.04936,215.04936,215.26440935999997,0.526858173029163,-0.11330051292067303,0.05665025646034539,0.05670690671680573,0.04532020516827631,0.06798030775241445,-0.22665767609782414,stop_loss,0,1.0,False,baseline
19.0,exit_fragment,combined__cand_002_AVAX_USDT__4h_ema15_dist0.000__short_cand_088_ETH_USDT__4h_ema20_dist0.000,combined__cand_002_AVAX_USDT__4h_ema15_dist0.000__short_cand_088_ETH_USDT__4h_ema20_dist0.000,1,2.710105416612176,short,BNB/USDT,2023-09-06,2023-09-07 00:00:00,2023-10-16 00:00:00,215.2,215.04936,215.04936,215.26440935999997,0.526858173029163,-0.11330051292067303,0.05665025646034539,0.05670690671680573,0.04532020516827631,0.06798030775241445,-0.22665767609782414,stop_loss,0,1.0,False,baseline
21.0,entry_filled,combined__cand_002_AVAX_USDT__4h_ema15_dist0.008__short_cand_088_ETH_USDT__4h_ema20_dist0.000,combined__cand_002_AVAX_USDT__4h_ema15_dist0.008__short_cand_088_ETH_USDT__4h_ema20_dist0.000,1,2.8093317976574874,short,ADA/USDT,2023-10-16,2023-10-17 00:00:00,,0.2514,0.25122402000000005,,,886.1406840811263,0.0,0.1113099124702053,0.0,0.08911030719119807,0.06683273039339854,-0.1113099124702053,entry_filled,0,1.0,False,baseline
22.0,entry_filled,combined__cand_002_AVAX_USDT__4h_ema15_dist0.008__short_cand_088_ETH_USDT__4h_ema20_dist0.000,combined__cand_002_AVAX_USDT__4h_ema15_dist0.008__short_cand_088_ETH_USDT__4h_ema20_dist0.000,1,2.8093317976574874,short,AVAX/USDT,2023-10-16,2023-10-17 00:00:00,,9.4,9.39342,,,10.998457571867915,0.0,0.05165656566236776,0.0,0.04135420047022336,0.03101565035266752,-0.05165656566236776,entry_filled,0,0.8233903298478944,False,baseline
21.0,exit_fragment,combined__cand_002_AVAX_USDT__4h_ema15_dist0.008__short_cand_088_ETH_USDT__4h_ema20_dist0.000,combined__cand_002_AVAX_USDT__4h_ema15_dist0.008__short_cand_088_ETH_USDT__4h_ema20_dist0.000,1,2.8093317976574874,short,ADA/USDT,2023-10-16,2023-10-17 00:00:00,2023-10-21 00:00:00,0.2514,0.25122402000000005,0.2619901815596383,0.2622521717411979,886.1406840811263,-9.772493928095543,0.1113099124702053,0.11619615943425309,0.09286406348391857,0.13929609522587783,-10.0,stop_loss,0,1.0,False,baseline
23.0,entry_filled,combined__cand_002_AVAX_USDT__4h_ema15_dist0.008__short_cand_088_ETH_USDT__4h_ema20_dist0.000,combined__cand_002_AVAX_USDT__4h_ema15_dist0.008__short_cand_088_ETH_USDT__4h_ema20_dist0.000,1,2.8093317976574874,long,ETH/USDT,2023-10-22,2023-10-22 04:00:00,,1629.74,1630.228922,,,0.1423203096425833,0.0,0.11600734248366738,0.0,0.04638902028738074,0.02319451014369037,-0.11600734248366738,entry_filled,0,1.0,False,baseline
