analysis_rank,rank,param_id,pair_family,long_param_id,long_source_symbol,long_sma,long_ema,long_fib_floor,long_fib_band,long_rw,long_eb,long_rw_lookback,long_confirm_enabled,long_confirm_mode,long_confirm_ema_period,long_confirm_min_distance,short_param_id,short_source_symbol,short_sma,short_ema,short_fib_floor,short_fib_band,short_rw,short_eb,short_rw_lookback,short_confirm_enabled,short_confirm_mode,short_confirm_ema_period,short_confirm_min_distance,data_mode_used,total_trades,closed_positions,win_rate,expectancy,total_profit,total_return,ending_equity,peak_equity,max_dd_dollars,max_dd_pct,breached,consistency_score,overall_survival,max_concurrent_observed,signal_conflicts,long_total_trades,short_total_trades,long_closed_positions,short_closed_positions,long_total_profit,short_total_profit,combined_rank,long_analysis_rank,short_analysis_rank,long_shortlist_priority,short_shortlist_priority,long_shortlist_role,short_shortlist_role,long_side,long_shortlist_rationale,short_side,short_shortlist_rationale,score_expectancy,score_win_rate,score_drawdown,score_consistency,composite_score,drawdown_headroom_pct_pts,consistency_headroom_pct_pts,win_rate_sig,expectancy_sig,max_dd_pct_sig,consistency_sig,metric_duplicate_count,pair_label,pair_cluster_size,long_profit_share_pct,short_profit_share_pct,best_expectancy_flag,best_win_rate_flag,best_drawdown_flag,best_consistency_flag,ai_note
1,1,combined__cand_002_AVAX_USDT__4h_ema15_dist0.008__short_cand_061_DOGE_USDT,AVAX/USDT + DOGE/USDT,cand_002_AVAX_USDT__4h_ema15_dist0.008,AVAX/USDT,35,20,0.236,0.436,0.002,0.068,21,True,close_above_ema,15,0.008,short_cand_061_DOGE_USDT,DOGE/USDT,80,20,0.236,0.686,0.05,0.028,10,False,disabled,20,0.0,"1D, 4H->1D",106,69,0.5943396226415094,2.0980780102858336,222.39626909029835,0.0444792538180596,5222.396269090315,5249.348027900419,101.7448042431988,1.976391828988948,False,5.245891360672836,True,4,0,47,59,33,36,31.66666666666667,190.7296024236317,1,1,1,1,1,primary,primary,long,"Best overall balance: strongest expectancy, tightest drawdown, best consistency, and still healthy trade count.",short,"Best overall short candidate after deduplication, balancing expectancy, drawdown control, and consistency.",1.0,1.0,1.0,1.0,100.0,1.023608171011052,14.754108639327164,0.59434,2.098078,1.976392,5.245891,1,AVAX/USDT + DOGE/USDT,2,14.238847978969119,85.7611520210309,True,True,True,True,Best overall balance in the combined survivor pool. Highest expectancy among the combined survivors. Highest win rate among the combined survivors. Tightest trailing-drawdown control in the pair set. Safest consistency profile in the pair set. Portfolio profit is heavily short-dominated.
2,2,combined__cand_002_AVAX_USDT__4h_ema15_dist0.008__short_cand_062_DOGE_USDT,AVAX/USDT + DOGE/USDT,cand_002_AVAX_USDT__4h_ema15_dist0.008,AVAX/USDT,35,20,0.236,0.436,0.002,0.068,21,True,close_above_ema,15,0.008,short_cand_062_DOGE_USDT,DOGE/USDT,75,20,0.236,0.686,0.05,0.028,10,False,disabled,20,0.0,"1D, 4H->1D",106,70,0.5849056603773585,1.846505683241808,195.7296024236317,0.0391459204847263,5195.729602423648,5222.681361233752,109.85605514864255,2.1327660530992314,False,5.960604079405254,True,4,0,47,59,33,37,31.66666666666667,164.06293575696492,2,1,2,1,2,primary,secondary,long,"Best overall balance: strongest expectancy, tightest drawdown, best consistency, and still healthy trade count.",short,Closest clean alternate to the primary short candidate with a very similar edge profile.,0.0,0.0,0.0,0.0,0.0,0.8672339469007686,14.039395920594746,0.584906,1.846506,2.132766,5.960604,1,AVAX/USDT + DOGE/USDT,2,16.17878250124282,83.82121749875712,False,False,False,False,Portfolio profit is heavily short-dominated.
