symbol,sma,ema,fib_min,fib_max,rw,eb,total_return,sharpe,total_trades,win_rate,expectancy
BTC/USDT,40,15,0.618,0.786,0.03,0.01,0.0,,0,0.0,0.0
BTC/USDT,40,15,0.618,0.786,0.03,0.015,0.0,,0,0.0,0.0
BTC/USDT,40,15,0.618,0.786,0.03,0.02,0.0,,0,0.0,0.0
BTC/USDT,40,15,0.618,0.786,0.04,0.005,0.0,,0,0.0,0.0
BTC/USDT,40,15,0.618,0.786,0.04,0.01,0.0,,0,0.0,0.0
BTC/USDT,40,15,0.618,0.786,0.04,0.015,0.0,,0,0.0,0.0
BTC/USDT,40,15,0.618,0.786,0.04,0.02,0.0,,0,0.0,0.0
BTC/USDT,40,15,0.618,0.786,0.05,0.005,0.0,,0,0.0,0.0
BTC/USDT,40,15,0.618,0.786,0.05,0.01,0.0,,0,0.0,0.0
BTC/USDT,40,15,0.618,0.786,0.05,0.015,0.0,,0,0.0,0.0
BTC/USDT,40,15,0.618,0.786,0.05,0.02,0.0,,0,0.0,0.0
BTC/USDT,40,18,0.5,0.618,0.01,0.005,0.3235436052950661,,3,0.6666666666666666,1069.34765625
BTC/USDT,40,18,0.5,0.618,0.01,0.01,0.3214419837512487,,7,0.2857142857142857,451.73618861607144
BTC/USDT,40,18,0.5,0.618,0.01,0.015,0.3214419837512487,,7,0.2857142857142857,451.73618861607144
BTC/USDT,40,18,0.5,0.618,0.01,0.02,0.3214419837512487,,9,0.2222222222222222,349.1281467013889
BTC/USDT,40,18,0.5,0.618,0.02,0.005,0.3149343336952012,,1,1.0,3152.49951171875
BTC/USDT,40,18,0.5,0.618,0.02,0.01,0.31284638259684433,,3,0.3333333333333333,1042.2032877604167
BTC/USDT,40,18,0.5,0.618,0.02,0.015,0.31284638259684433,,3,0.3333333333333333,1042.2032877604167
BTC/USDT,40,18,0.5,0.618,0.02,0.02,0.31284638259684433,,4,0.25,779.1524658203125
BTC/USDT,40,18,0.5,0.618,0.03,0.005,0.0,,0,0.0,0.0
BTC/USDT,40,18,0.5,0.618,0.03,0.01,-0.0015878748047358385,,2,0.0,-12.944816589355469
BTC/USDT,40,18,0.5,0.618,0.03,0.015,-0.0015878748047358385,,2,0.0,-12.944816589355469
BTC/USDT,40,18,0.5,0.618,0.03,0.02,-0.0015878748047358385,,2,0.0,-12.944816589355469
BTC/USDT,40,18,0.5,0.618,0.04,0.005,0.0,,0,0.0,0.0
BTC/USDT,40,18,0.5,0.618,0.04,0.01,0.0,,0,0.0,0.0
BTC/USDT,40,18,0.5,0.618,0.04,0.015,0.0,,0,0.0,0.0
BTC/USDT,40,18,0.5,0.618,0.04,0.02,0.0,,0,0.0,0.0
BTC/USDT,40,18,0.5,0.618,0.05,0.005,0.0,,0,0.0,0.0
BTC/USDT,40,18,0.5,0.618,0.05,0.01,0.0,,0,0.0,0.0
BTC/USDT,40,18,0.5,0.618,0.05,0.015,0.0,,0,0.0,0.0
BTC/USDT,40,18,0.5,0.618,0.05,0.02,0.0,,0,0.0,0.0
BTC/USDT,40,18,0.5,0.7,0.01,0.005,0.3235436052950661,,3,0.6666666666666666,1069.34765625
BTC/USDT,40,18,0.5,0.7,0.01,0.01,0.3214419837512487,,7,0.2857142857142857,451.73618861607144
BTC/USDT,40,18,0.5,0.7,0.01,0.015,0.3214419837512487,,7,0.2857142857142857,451.73618861607144
BTC/USDT,40,18,0.5,0.7,0.01,0.02,0.3214419837512487,,9,0.2222222222222222,349.1281467013889
BTC/USDT,40,18,0.5,0.7,0.02,0.005,0.3149343336952012,,1,1.0,3152.49951171875
BTC/USDT,40,18,0.5,0.7,0.02,0.01,0.31284638259684433,,3,0.3333333333333333,1042.2032877604167
BTC/USDT,40,18,0.5,0.7,0.02,0.015,0.31284638259684433,,3,0.3333333333333333,1042.2032877604167
BTC/USDT,40,18,0.5,0.7,0.02,0.02,0.31284638259684433,,4,0.25,779.1524658203125
BTC/USDT,40,18,0.5,0.7,0.03,0.005,0.0,,0,0.0,0.0
BTC/USDT,40,18,0.5,0.7,0.03,0.01,-0.0015878748047358385,,2,0.0,-12.944816589355469
BTC/USDT,40,18,0.5,0.7,0.03,0.015,-0.0015878748047358385,,2,0.0,-12.944816589355469
BTC/USDT,40,18,0.5,0.7,0.03,0.02,-0.0015878748047358385,,2,0.0,-12.944816589355469
BTC/USDT,40,18,0.5,0.7,0.04,0.005,0.0,,0,0.0,0.0
BTC/USDT,40,18,0.5,0.7,0.04,0.01,0.0,,0,0.0,0.0
BTC/USDT,40,18,0.5,0.7,0.04,0.015,0.0,,0,0.0,0.0
BTC/USDT,40,18,0.5,0.7,0.04,0.02,0.0,,0,0.0,0.0
BTC/USDT,40,18,0.5,0.7,0.05,0.005,0.0,,0,0.0,0.0
BTC/USDT,40,18,0.5,0.7,0.05,0.01,0.0,,0,0.0,0.0
BTC/USDT,40,18,0.5,0.7,0.05,0.015,0.0,,0,0.0,0.0
BTC/USDT,40,18,0.5,0.7,0.05,0.02,0.0,,0,0.0,0.0
BTC/USDT,40,18,0.5,0.786,0.01,0.005,0.3235436052950661,,3,0.6666666666666666,1069.34765625
BTC/USDT,40,18,0.5,0.786,0.01,0.01,0.3214419837512487,,7,0.2857142857142857,451.73618861607144
BTC/USDT,40,18,0.5,0.786,0.01,0.015,0.3214419837512487,,7,0.2857142857142857,451.73618861607144
BTC/USDT,40,18,0.5,0.786,0.01,0.02,0.3214419837512487,,9,0.2222222222222222,349.1281467013889
BTC/USDT,40,18,0.5,0.786,0.02,0.005,0.3149343336952012,,1,1.0,3152.49951171875
BTC/USDT,40,18,0.5,0.786,0.02,0.01,0.31284638259684433,,3,0.3333333333333333,1042.2032877604167
BTC/USDT,40,18,0.5,0.786,0.02,0.015,0.31284638259684433,,3,0.3333333333333333,1042.2032877604167
BTC/USDT,40,18,0.5,0.786,0.02,0.02,0.31284638259684433,,4,0.25,779.1524658203125
BTC/USDT,40,18,0.5,0.786,0.03,0.005,0.0,,0,0.0,0.0
