rank,param_id,pair_family,long_param_id,long_source_symbol,long_sma,long_ema,long_fib_floor,long_fib_band,long_rw,long_eb,long_rw_lookback,long_confirm_enabled,long_confirm_mode,long_confirm_ema_period,long_confirm_min_distance,short_param_id,short_source_symbol,short_sma,short_ema,short_fib_floor,short_fib_band,short_rw,short_eb,short_rw_lookback,short_confirm_enabled,short_confirm_mode,short_confirm_ema_period,short_confirm_min_distance,data_mode_used,total_trades,closed_positions,win_rate,expectancy,total_profit,total_return,ending_equity,peak_equity,max_dd_dollars,max_dd_pct,breached,consistency_score,overall_survival,max_concurrent_observed,signal_conflicts,long_total_trades,short_total_trades,long_closed_positions,short_closed_positions,long_total_profit,short_total_profit
4,combined__cand_002_AVAX_USDT__4h_ema15_dist0.008__short_cand_076_ETH_USDT__4h_ema15_dist0.000,AVAX/USDT + ETH/USDT,cand_002_AVAX_USDT__4h_ema15_dist0.008,AVAX/USDT,35,20,0.236,0.436,0.002,0.068,21,True,close_above_ema,15,0.008,short_cand_076_ETH_USDT__4h_ema15_dist0.000,ETH/USDT,75,20,0.236,0.536,0.011,0.023,8,True,close_below_ema,15,0.0,"1D, 4H->1D",104,68,0.625,2.7151868764202556,282.3794351477066,0.05647588702954132,5282.379435147725,5301.521319677801,93.94622230308141,1.7768316239396897,False,4.131556768843344,True,4,0,41,63,28,40,53.33333333333336,229.0461018143732
12,combined__cand_002_AVAX_USDT__4h_ema15_dist0.000__short_cand_082_ETH_USDT__4h_ema20_dist0.000,AVAX/USDT + ETH/USDT,cand_002_AVAX_USDT__4h_ema15_dist0.000,AVAX/USDT,35,20,0.236,0.436,0.002,0.068,21,True,close_above_ema,15,0.0,short_cand_082_ETH_USDT__4h_ema20_dist0.000,ETH/USDT,75,20,0.236,0.486,0.011,0.023,8,True,close_below_ema,20,0.0,"1D, 4H->1D",117,78,0.6153846153846154,2.383381208012247,278.8556013374329,0.05577112026748658,5278.855601337454,5304.422050511011,93.94622230308141,1.7898078965075805,False,4.183766297220355,True,4,0,48,69,33,45,59.999999999999986,218.8556013374329
2,combined__cand_002_AVAX_USDT__4h_ema15_dist0.008__short_cand_082_ETH_USDT__4h_ema20_dist0.000,AVAX/USDT + ETH/USDT,cand_002_AVAX_USDT__4h_ema15_dist0.008,AVAX/USDT,35,20,0.236,0.436,0.002,0.068,21,True,close_above_ema,15,0.008,short_cand_082_ETH_USDT__4h_ema20_dist0.000,ETH/USDT,75,20,0.236,0.486,0.011,0.023,8,True,close_below_ema,20,0.0,"1D, 4H->1D",110,73,0.6181818181818182,2.47444486064333,272.1889346707663,0.05443778693415326,5272.188934670786,5297.755383844343,93.94622230308141,1.7920840115277177,False,4.28623841038153,True,4,0,41,69,28,45,53.33333333333336,218.85560133743292
9,combined__cand_002_AVAX_USDT__4h_ema20_dist0.008__short_cand_076_ETH_USDT__4h_ema15_dist0.000,AVAX/USDT + ETH/USDT,cand_002_AVAX_USDT__4h_ema20_dist0.008,AVAX/USDT,35,20,0.236,0.436,0.002,0.068,21,True,close_above_ema,20,0.008,short_cand_076_ETH_USDT__4h_ema15_dist0.000,ETH/USDT,75,20,0.236,0.536,0.011,0.023,8,True,close_below_ema,15,0.0,"1D, 4H->1D",109,72,0.6146788990825688,2.483603380559999,270.7127684810399,0.05414255369620798,5270.712768481059,5289.854653011135,93.94622230308141,1.7807609617739535,False,4.3096107849393075,True,4,0,45,64,31,41,51.6666666666667,219.04610181437317
7,combined__cand_002_AVAX_USDT__4h_ema20_dist0.008__short_cand_082_ETH_USDT__4h_ema20_dist0.000,AVAX/USDT + ETH/USDT,cand_002_AVAX_USDT__4h_ema20_dist0.008,AVAX/USDT,35,20,0.236,0.436,0.002,0.068,21,True,close_above_ema,20,0.008,short_cand_082_ETH_USDT__4h_ema20_dist0.000,ETH/USDT,75,20,0.236,0.486,0.011,0.023,8,True,close_below_ema,20,0.0,"1D, 4H->1D",114,76,0.6140350877192983,2.3730023509131546,270.5222680040996,0.05410445360081992,5270.52226800412,5296.088717177677,93.94622230308141,1.7926539451192436,False,4.3126455920774225,True,4,0,45,69,31,45,51.6666666666667,218.8556013374329
23,combined__cand_028_ETH_USDT__4h_ema15_dist0.000__short_cand_088_ETH_USDT__4h_ema15_dist0.000,ETH/USDT + ETH/USDT,cand_028_ETH_USDT__4h_ema15_dist0.000,ETH/USDT,30,20,0.236,0.436,0.005,0.053,25,True,close_above_ema,15,0.0,short_cand_088_ETH_USDT__4h_ema15_dist0.000,ETH/USDT,75,20,0.236,0.586,0.011,0.023,8,True,close_below_ema,15,0.0,"1D, 4H->1D",111,73,0.5945945945945946,2.3164569711418297,257.1267237967431,0.05142534475934862,5257.126723796762,5279.300255867126,92.7926386245872,1.7630366127181976,False,4.537321712187759,True,4,0,45,66,31,42,46.9981128561079,210.12861094063504
22,combined__cand_028_ETH_USDT__4h_ema15_dist0.000__short_cand_082_ETH_USDT__4h_ema20_dist0.000,ETH/USDT + ETH/USDT,cand_028_ETH_USDT__4h_ema15_dist0.000,ETH/USDT,30,20,0.236,0.436,0.005,0.053,25,True,close_above_ema,15,0.0,short_cand_082_ETH_USDT__4h_ema20_dist0.000,ETH/USDT,75,20,0.236,0.486,0.011,0.023,8,True,close_below_ema,20,0.0,"1D, 4H->1D",113,75,0.6017699115044248,2.2706863577044984,256.58755842060833,0.051317511684121665,5256.587558420628,5274.966455021937,86.93391065957894,1.665975512154574,False,4.546855949867303,True,4,0,48,65,33,42,55.33144618944122,201.25611223116707
24,combined__cand_028_ETH_USDT__4h_ema15_dist0.000__short_cand_076_ETH_USDT__4h_ema15_dist0.000,ETH/USDT + ETH/USDT,cand_028_ETH_USDT__4h_ema15_dist0.000,ETH/USDT,30,20,0.236,0.436,0.005,0.053,25,True,close_above_ema,15,0.0,short_cand_076_ETH_USDT__4h_ema15_dist0.000,ETH/USDT,75,20,0.236,0.536,0.011,0.023,8,True,close_below_ema,15,0.0,"1D, 4H->1D",108,71,0.6018518518518519,2.3701798894132367,255.97942805662956,0.05119588561132591,5255.979428056648,5282.633589200459,95.6208893085759,1.815990277498486,False,4.557657916200083,True,4,0,47,61,32,39,65.33144618944122,190.6479818671883
19,combined__cand_008_AVAX_USDT__4h_ema15_dist0.008__short_cand_076_ETH_USDT__4h_ema15_dist0.000,AVAX/USDT + ETH/USDT,cand_008_AVAX_USDT__4h_ema15_dist0.008,AVAX/USDT,30,20,0.236,0.436,0.002,0.068,21,True,close_above_ema,15,0.008,short_cand_076_ETH_USDT__4h_ema15_dist0.000,ETH/USDT,75,20,0.236,0.536,0.011,0.023,8,True,close_below_ema,15,0.0,"1D, 4H->1D",107,71,0.6074766355140186,2.35868630979165,252.37943514770657,0.05047588702954132,5252.379435147725,5287.288960716414,104.08085333970212,1.9685107833712843,False,4.622669299437446,True,4,0,43,64,30,41,33.33333333333334,219.0461018143732
17,combined__cand_008_AVAX_USDT__4h_ema15_dist0.008__short_cand_082_ETH_USDT__4h_ema20_dist0.000,AVAX/USDT + ETH/USDT,cand_008_AVAX_USDT__4h_ema15_dist0.008,AVAX/USDT,30,20,0.236,0.436,0.002,0.068,21,True,close_above_ema,15,0.008,short_cand_082_ETH_USDT__4h_ema20_dist0.000,ETH/USDT,75,20,0.236,0.486,0.011,0.023,8,True,close_below_ema,20,0.0,"1D, 4H->1D",112,75,0.6071428571428571,2.25168691670327,252.18893467076626,0.05043778693415325,5252.188934670786,5277.755383844343,93.94622230308141,1.7920840115277177,False,4.626161208023482,True,4,0,43,69,30,45,33.33333333333334,218.85560133743292
25,combined__cand_028_ETH_USDT__4h_ema15_dist0.000__short_cand_067_DOGE_USDT__4h_ema20_dist0.004,ETH/USDT + DOGE/USDT,cand_028_ETH_USDT__4h_ema15_dist0.000,ETH/USDT,30,20,0.236,0.436,0.005,0.053,25,True,close_above_ema,15,0.0,short_cand_067_DOGE_USDT__4h_ema20_dist0.004,DOGE/USDT,70,20,0.236,0.686,0.05,0.028,10,True,close_below_ema,20,0.004,"1D, 4H->1D",98,64,0.6020408163265306,2.2984932330812393,225.25233684196144,0.045050467368392286,5225.252336841977,5243.046980751732,70.27823071876901,1.3679403213396668,False,5.179376529554978,True,4,0,51,47,35,29,63.66477952277455,161.58755731918689
10,combined__cand_002_AVAX_USDT__4h_ema20_dist0.008__short_cand_067_DOGE_USDT__4h_ema20_dist0.004,AVAX/USDT + DOGE/USDT,cand_002_AVAX_USDT__4h_ema20_dist0.008,AVAX/USDT,35,20,0.236,0.436,0.002,0.068,21,True,close_above_ema,20,0.008,short_cand_067_DOGE_USDT__4h_ema20_dist0.004,DOGE/USDT,70,20,0.236,0.686,0.05,0.028,10,True,close_below_ema,20,0.004,"1D, 4H->1D",111,74,0.5945945945945946,1.9362242401127951,214.92089065252026,0.04298417813050405,5214.920890652538,5246.380314085068,101.38290789647726,1.9600751131096161,False,5.428353954446012,True,4,0,60,51,42,32,55.00000000000004,159.9208906525202
15,combined__cand_002_AVAX_USDT__4h_ema15_dist0.000__short_cand_067_DOGE_USDT__4h_ema20_dist0.004,AVAX/USDT + DOGE/USDT,cand_002_AVAX_USDT__4h_ema15_dist0.000,AVAX/USDT,35,20,0.236,0.436,0.002,0.068,21,True,close_above_ema,15,0.0,short_cand_067_DOGE_USDT__4h_ema20_dist0.004,DOGE/USDT,70,20,0.236,0.686,0.05,0.028,10,True,close_below_ema,20,0.004,"1D, 4H->1D",114,76,0.5877192982456141,1.8132555349326749,206.71113098232493,0.041342226196464986,5206.711130982344,5254.713647418402,104.2016026013498,2.010235833136647,False,5.643946995609174,True,4,0,64,50,45,31,53.333333333333336,153.3777976489916
20,combined__cand_008_AVAX_USDT__4h_ema15_dist0.008__short_cand_067_DOGE_USDT__4h_ema20_dist0.004,AVAX/USDT + DOGE/USDT,cand_008_AVAX_USDT__4h_ema15_dist0.008,AVAX/USDT,30,20,0.236,0.436,0.002,0.068,21,True,close_above_ema,15,0.008,short_cand_067_DOGE_USDT__4h_ema20_dist0.004,DOGE/USDT,70,20,0.236,0.686,0.05,0.028,10,True,close_below_ema,20,0.004,"1D, 4H->1D",106,71,0.5849056603773585,1.775983245149562,188.25422398585357,0.037650844797170714,5188.25422398587,5219.7136474184,101.38290789647726,1.9664113454198158,False,6.19729343631799,True,4,0,55,51,39,32,28.33333333333335,159.9208906525202
5,combined__cand_002_AVAX_USDT__4h_ema15_dist0.008__short_cand_067_DOGE_USDT__4h_ema20_dist0.004,AVAX/USDT + DOGE/USDT,cand_002_AVAX_USDT__4h_ema15_dist0.008,AVAX/USDT,35,20,0.236,0.436,0.002,0.068,21,True,close_above_ema,15,0.008,short_cand_067_DOGE_USDT__4h_ema20_dist0.004,DOGE/USDT,70,20,0.236,0.686,0.05,0.028,10,True,close_below_ema,20,0.004,"1D, 4H->1D",106,71,0.5849056603773585,1.7759832451495623,188.2542239858536,0.03765084479717072,5188.25422398587,5219.7136474184,101.38290789647726,1.9702327865136882,False,6.19729343631799,True,4,0,54,52,38,33,38.333333333333385,149.92089065252023
