backtrader_rank,symbol,side,sma,ema,fib_floor,fib_band,rw,eb,rw_lookback,total_return,total_trades,win_rate,expectancy
52,BTC/USDT,short,55,20,0.236,0.336,0.008,0.013,18,0.3898479492262608,12,0.4166666666666667,324.8732910218841
53,BTC/USDT,short,50,20,0.236,0.586,0.032,0.013,14,0.3883981653250257,12,0.4166666666666667,323.6651377708548
54,BTC/USDT,short,30,20,0.236,0.336,0.005,0.018,8,0.3879833552938094,12,0.5,323.31946274484125
55,BTC/USDT,short,55,20,0.236,0.336,0.002,0.013,25,0.4195777625729106,13,0.4615384615384615,322.7521250560851
56,BTC/USDT,short,80,20,0.236,0.586,0.029,0.013,14,0.3863150526167056,12,0.4166666666666667,321.92921051392136
57,BTC/USDT,short,35,20,0.236,0.586,0.035,0.013,14,0.4175095026638009,13,0.4615384615384615,321.1611558952315
58,BTC/USDT,short,30,20,0.236,0.336,0.008,0.023,8,0.384474260482112,12,0.5,320.3952170684267
59,BTC/USDT,short,75,20,0.236,0.436,0.008,0.018,8,0.3816470932216244,12,0.5,318.03924435135366
60,BTC/USDT,short,60,20,0.236,0.586,0.029,0.013,14,0.3797866702149216,12,0.4166666666666667,316.488891845768
61,DOGE/USDT,short,80,20,0.236,0.686,0.05,0.028,10,0.7123819544162521,13,0.4615384615384615,547.9861187817323
62,DOGE/USDT,short,75,20,0.236,0.686,0.05,0.028,10,0.6813810452078006,13,0.4615384615384615,524.139265544462
63,DOGE/USDT,short,80,20,0.236,0.636,0.05,0.043,10,0.7352153389085629,15,0.4666666666666667,490.1435592723753
64,DOGE/USDT,short,80,20,0.236,0.586,0.055,0.048,10,0.6674988724904861,14,0.5,476.7849089217758
65,DOGE/USDT,short,70,20,0.236,0.636,0.044,0.033,10,0.5576662965026578,12,0.4166666666666667,464.7219137522148
66,DOGE/USDT,short,75,20,0.236,0.636,0.044,0.033,10,0.5509231900864732,12,0.4166666666666667,459.1026584053943
67,DOGE/USDT,short,70,20,0.236,0.686,0.05,0.028,10,0.6424198257620318,14,0.4285714285714285,458.871304115737
68,DOGE/USDT,short,75,20,0.236,0.686,0.038,0.018,10,0.5917528529666877,13,0.3846153846153846,455.1945022820674
69,DOGE/USDT,short,75,20,0.236,0.686,0.05,0.033,10,0.6356767193458472,14,0.4285714285714285,454.054799532748
70,DOGE/USDT,short,80,20,0.236,0.686,0.044,0.028,10,0.6326442206825261,14,0.4285714285714285,451.88872905894726
71,DOGE/USDT,short,70,20,0.236,0.386,0.017,0.033,8,0.5401434171141303,12,0.5833333333333334,450.1195142617752
72,DOGE/USDT,short,80,20,0.236,0.636,0.05,0.038,10,0.5808118298457845,13,0.4615384615384615,446.7783306506035
73,DOGE/USDT,short,80,20,0.236,0.636,0.05,0.048,10,0.7142936302657243,16,0.4375,446.4335189160777
74,DOGE/USDT,short,80,20,0.236,0.636,0.055,0.048,10,0.6664988724904861,15,0.4666666666666667,444.3325816603241
75,DOGE/USDT,short,80,20,0.236,0.636,0.041,0.028,10,0.5324521503192928,12,0.4166666666666667,443.7101252660773
76,ETH/USDT,short,75,20,0.236,0.536,0.011,0.023,8,0.7804396116401294,13,0.6923076923076923,600.3381628000996
77,ETH/USDT,short,90,20,0.236,0.536,0.011,0.023,8,0.7746473475845759,13,0.6923076923076923,595.8825750650584
78,ETH/USDT,short,80,20,0.236,0.536,0.011,0.023,8,0.7736226779416789,13,0.6923076923076923,595.0943676474453
79,ETH/USDT,short,75,20,0.236,0.436,0.011,0.023,8,0.708130969694537,12,0.5,590.1091414121142
80,ETH/USDT,short,65,20,0.236,0.436,0.011,0.023,8,0.7003847408171413,12,0.5,583.6539506809511
