evaluation_index,first_seen_stage,portfolio_size,portfolio_param_ids,priority_1_param_id,priority_2_param_id,priority_3_param_id,priority_4_param_id,priority_5_param_id,friction_preset,active_pairs,watchlist_size,total_trades,closed_positions,win_rate,expectancy,total_profit,total_return,ending_equity,peak_equity,max_dd_dollars,max_dd_pct,breached,consistency_score,overall_survival,max_concurrent_observed,same_symbol_opposite_conflicts,same_pair_duplicate_blocks,stacked_same_side_entries,internal_pair_conflicts,entry_rejections,partial_fill_events,extra_latency_events,long_total_trades,short_total_trades,long_closed_positions,short_closed_positions,long_total_profit,short_total_profit,backtest_start,backtest_end,true_months_window,dynamic_symbol_count,activated_symbol_count,winning_positions,losing_positions,breakeven_positions,position_win_rate,avg_position_pnl,avg_winner_pnl,avg_loser_pnl,profit_factor,avg_holding_days,median_holding_days,best_position_pnl,worst_position_pnl,max_consecutive_position_wins,max_consecutive_position_losses,avg_support_pair_count,cagr,daily_sharpe,daily_sortino,calmar,months_traded,profitable_months,losing_months,monthly_win_rate,best_month_return_pct,worst_month_return_pct,stacking_profit_delta_vs_netted,friction_profit_delta_vs_reference,duplicate_pair_family_count,duplicate_long_symbol_count,duplicate_short_symbol_count,duplicate_long_param_count,duplicate_short_param_count,diversity_penalty,penalized_expectancy
1,size_4_seed_01_ordering,4,combined__cand_002_AVAX_USDT__4h_ema15_dist0.008__short_cand_067_DOGE_USDT__4h_ema20_dist0.004|combined__cand_028_ETH_USDT__4h_ema15_dist0.000__short_cand_076_ETH_USDT__4h_ema15_dist0.000|combined__cand_008_AVAX_USDT__4h_ema15_dist0.008__short_cand_082_ETH_USDT__4h_ema20_dist0.000|combined__cand_002_AVAX_USDT__4h_ema20_dist0.008__short_cand_067_DOGE_USDT__4h_ema20_dist0.004,combined__cand_002_AVAX_USDT__4h_ema15_dist0.008__short_cand_067_DOGE_USDT__4h_ema20_dist0.004,combined__cand_028_ETH_USDT__4h_ema15_dist0.000__short_cand_076_ETH_USDT__4h_ema15_dist0.000,combined__cand_008_AVAX_USDT__4h_ema15_dist0.008__short_cand_082_ETH_USDT__4h_ema20_dist0.000,combined__cand_002_AVAX_USDT__4h_ema20_dist0.008__short_cand_067_DOGE_USDT__4h_ema20_dist0.004,,baseline,4,10,79,53,0.5316455696202531,1.3031447887677454,102.94843831265189,0.020589687662530377,5102.948438312652,5246.196326604943,158.08111863974318,3.0132520553618853,True,11.073817552547798,False,4,10,80,26,0,1,3,18,54,25,36,17,89.7142101716403,13.234228141010679,2023-06-16 00:00,2026-03-31 08:00,34,1,10,26,27,0,0.49056603773584906,1.9424233643896416,12.90798192565051,-8.617003398306009,1.4424862038977897,12.823899371069182,7.0,17.883917745221282,-10.000000000000002,10,9,1.0,0.007326921179955148,0.4476253594954548,0.2654157284336003,0.2431565977667673,33,6,4,0.18181818181818182,1.363537082611388,-0.8717292693309009,-252.07537126354322,0.0,1.0,2.0,2.0,0.0,1.0,0.6500000000000001,0.6531447887677453
2,size_4_seed_01_ordering,4,combined__cand_002_AVAX_USDT__4h_ema15_dist0.008__short_cand_067_DOGE_USDT__4h_ema20_dist0.004|combined__cand_028_ETH_USDT__4h_ema15_dist0.000__short_cand_076_ETH_USDT__4h_ema15_dist0.000|combined__cand_002_AVAX_USDT__4h_ema20_dist0.008__short_cand_067_DOGE_USDT__4h_ema20_dist0.004|combined__cand_008_AVAX_USDT__4h_ema15_dist0.008__short_cand_082_ETH_USDT__4h_ema20_dist0.000,combined__cand_002_AVAX_USDT__4h_ema15_dist0.008__short_cand_067_DOGE_USDT__4h_ema20_dist0.004,combined__cand_028_ETH_USDT__4h_ema15_dist0.000__short_cand_076_ETH_USDT__4h_ema15_dist0.000,combined__cand_002_AVAX_USDT__4h_ema20_dist0.008__short_cand_067_DOGE_USDT__4h_ema20_dist0.004,combined__cand_008_AVAX_USDT__4h_ema15_dist0.008__short_cand_082_ETH_USDT__4h_ema20_dist0.000,,baseline,4,10,79,53,0.5316455696202531,1.3031447887677454,102.94843831265189,0.020589687662530377,5102.948438312652,5246.196326604943,158.08111863974318,3.0132520553618853,True,11.073817552547798,False,4,11,80,26,0,1,3,18,54,25,36,17,89.7142101716403,13.234228141010679,2023-06-16 00:00,2026-03-31 08:00,34,1,10,26,27,0,0.49056603773584906,1.9424233643896416,12.90798192565051,-8.617003398306009,1.4424862038977897,12.823899371069182,7.0,17.883917745221282,-10.000000000000002,10,9,1.0,0.007326921179955148,0.4476253594954548,0.2654157284336003,0.2431565977667673,33,6,4,0.18181818181818182,1.363537082611388,-0.8717292693309009,-252.07537126354322,0.0,1.0,2.0,2.0,0.0,1.0,0.6500000000000001,0.6531447887677453
4,size_4_seed_01_ordering_01_one_swap,4,combined__cand_002_AVAX_USDT__4h_ema15_dist0.008__short_cand_067_DOGE_USDT__4h_ema20_dist0.004|combined__cand_002_AVAX_USDT__4h_ema15_dist0.000__short_cand_067_DOGE_USDT__4h_ema20_dist0.004|combined__cand_008_AVAX_USDT__4h_ema15_dist0.008__short_cand_082_ETH_USDT__4h_ema20_dist0.000|combined__cand_002_AVAX_USDT__4h_ema20_dist0.008__short_cand_067_DOGE_USDT__4h_ema20_dist0.004,combined__cand_002_AVAX_USDT__4h_ema15_dist0.008__short_cand_067_DOGE_USDT__4h_ema20_dist0.004,combined__cand_002_AVAX_USDT__4h_ema15_dist0.000__short_cand_067_DOGE_USDT__4h_ema20_dist0.004,combined__cand_008_AVAX_USDT__4h_ema15_dist0.008__short_cand_082_ETH_USDT__4h_ema20_dist0.000,combined__cand_002_AVAX_USDT__4h_ema20_dist0.008__short_cand_067_DOGE_USDT__4h_ema20_dist0.004,,baseline,4,10,77,51,0.5064935064935064,0.8793480406955189,67.70979913355495,0.01354195982671099,5067.709799133555,5193.416927002413,160.43735543266484,3.0892446666181224,True,16.837034488100596,False,4,27,51,21,0,1,5,13,54,23,35,16,83.27569049191052,-15.565891358355874,2023-06-16 00:00,2026-03-31 08:00,34,1,10,26,25,0,0.5098039215686274,1.3276431202657775,11.387140491331111,-9.134234145642168,1.2965100217662286,12.859477124183007,7.0,17.883917745221282,-10.000000000000002,9,6,1.0,0.004829728511105191,0.3182821933321257,0.18788051580165965,0.15634011003707332,33,7,3,0.21212121212121213,1.1428232456771825,-0.9986898282207446,-287.31401044264015,0.0,2.0,3.0,2.0,0.0,2.0,1.0000000000000002,-0.12065195930448136
3,size_4_seed_01_ordering_01_one_swap,4,combined__cand_002_AVAX_USDT__4h_ema15_dist0.000__short_cand_067_DOGE_USDT__4h_ema20_dist0.004|combined__cand_028_ETH_USDT__4h_ema15_dist0.000__short_cand_076_ETH_USDT__4h_ema15_dist0.000|combined__cand_008_AVAX_USDT__4h_ema15_dist0.008__short_cand_082_ETH_USDT__4h_ema20_dist0.000|combined__cand_002_AVAX_USDT__4h_ema20_dist0.008__short_cand_067_DOGE_USDT__4h_ema20_dist0.004,combined__cand_002_AVAX_USDT__4h_ema15_dist0.000__short_cand_067_DOGE_USDT__4h_ema20_dist0.004,combined__cand_028_ETH_USDT__4h_ema15_dist0.000__short_cand_076_ETH_USDT__4h_ema15_dist0.000,combined__cand_008_AVAX_USDT__4h_ema15_dist0.008__short_cand_082_ETH_USDT__4h_ema20_dist0.000,combined__cand_002_AVAX_USDT__4h_ema20_dist0.008__short_cand_067_DOGE_USDT__4h_ema20_dist0.004,,baseline,4,10,76,50,0.5394736842105263,1.4105750481095416,107.20370365632516,0.02144074073126503,5107.203703656325,5253.949914988429,175.504436136006,3.340428420060273,True,10.551713766234382,False,4,10,87,23,0,2,2,16,52,24,34,16,92.89747416103637,14.306229495288404,2023-06-16 00:00,2026-03-31 08:00,34,1,10,26,24,0,0.52,2.1440740731264976,12.465465985972589,-9.037433832456768,1.494257669653768,13.19,6.916666666666666,17.73473034444742,-10.000000000000002,10,9,1.0,0.0076277215801008325,0.4895505733302405,0.3136247519585745,0.22834560783563213,33,6,4,0.18181818181818182,1.360837761558753,-0.7955169899169334,-247.82010591986995,0.0,1.0,2.0,2.0,0.0,1.0,0.6500000000000001,0.7605750481095415
