combined_rank,daily_analysis_rank,daily_rank,daily_param_id,source_symbol,sma,ema,fib_floor,fib_band,rw,eb,rw_lookback,confirm_enabled,confirm_ema_period,confirm_min_distance,confirm_mode,assets_with_real_4h,assets_with_daily_fallback,total_trades,win_rate,expectancy,total_profit,total_return,param_id
24,2,8,cand_008_AVAX_USDT,AVAX/USDT,30,20,0.236,0.436,0.002,0.068,21,True,25,0.0,close_above_ema,4,6,125,0.248,663.410441628167,82926.30520352087,8.292630520352088,cand_008_AVAX_USDT__4h_ema25_dist0.000
25,4,23,cand_023_ETH_USDT,ETH/USDT,30,20,0.236,0.436,0.011,0.053,25,True,30,0.008,close_above_ema,4,6,71,0.323943661971831,301.6155456932222,21414.703744218776,2.1414703744218775,cand_023_ETH_USDT__4h_ema30_dist0.008
26,4,23,cand_023_ETH_USDT,ETH/USDT,30,20,0.236,0.436,0.011,0.053,25,True,25,0.008,close_above_ema,4,6,74,0.3108108108108108,283.22746872569104,20958.832685701138,2.095883268570114,cand_023_ETH_USDT__4h_ema25_dist0.008
27,5,30,cand_030_ETH_USDT,ETH/USDT,30,20,0.236,0.436,0.008,0.053,25,True,30,0.008,close_above_ema,4,6,73,0.3150684931506849,280.8703728197795,20503.537215843902,2.0503537215843903,cand_030_ETH_USDT__4h_ema30_dist0.008
28,5,30,cand_030_ETH_USDT,ETH/USDT,30,20,0.236,0.436,0.008,0.053,25,True,25,0.008,close_above_ema,4,6,76,0.3026315789473684,263.7850810174508,20047.66615732626,2.0047666157326263,cand_030_ETH_USDT__4h_ema25_dist0.008
29,3,28,cand_028_ETH_USDT,ETH/USDT,30,20,0.236,0.436,0.005,0.053,25,True,25,0.008,close_above_ema,4,6,78,0.3076923076923077,257.0291752845162,20048.275672192263,2.0048275672192264,cand_028_ETH_USDT__4h_ema25_dist0.008
30,3,28,cand_028_ETH_USDT,ETH/USDT,30,20,0.236,0.436,0.005,0.053,25,True,30,0.008,close_above_ema,4,6,77,0.3116883116883117,255.94436948931204,19707.716450677028,1.9707716450677029,cand_028_ETH_USDT__4h_ema30_dist0.008
31,4,23,cand_023_ETH_USDT,ETH/USDT,30,20,0.236,0.436,0.011,0.053,25,True,30,0.004,close_above_ema,4,6,79,0.31645569620253167,254.3958366163398,20097.271092690844,2.0097271092690843,cand_023_ETH_USDT__4h_ema30_dist0.004
32,4,23,cand_023_ETH_USDT,ETH/USDT,30,20,0.236,0.436,0.011,0.053,25,True,15,0.008,close_above_ema,4,6,75,0.29333333333333333,252.1104121684576,18908.28091263432,1.890828091263432,cand_023_ETH_USDT__4h_ema15_dist0.008
33,4,23,cand_023_ETH_USDT,ETH/USDT,30,20,0.236,0.436,0.011,0.053,25,True,20,0.004,close_above_ema,4,6,82,0.3048780487804878,249.14479900700923,20429.873518574757,2.0429873518574757,cand_023_ETH_USDT__4h_ema20_dist0.004
34,5,30,cand_030_ETH_USDT,ETH/USDT,30,20,0.236,0.436,0.008,0.053,25,True,15,0.008,close_above_ema,4,6,76,0.2894736842105263,244.12711198284958,18553.66051069657,1.8553660510696568,cand_030_ETH_USDT__4h_ema15_dist0.008
35,4,23,cand_023_ETH_USDT,ETH/USDT,30,20,0.236,0.436,0.011,0.053,25,True,15,0.004,close_above_ema,4,6,82,0.2926829268292683,243.69093716655104,19982.656847657185,1.9982656847657185,cand_023_ETH_USDT__4h_ema15_dist0.004
36,4,23,cand_023_ETH_USDT,ETH/USDT,30,20,0.236,0.436,0.011,0.053,25,True,25,0.004,close_above_ema,4,6,83,0.3132530120481928,241.31956244735937,20029.52368313083,2.0029523683130828,cand_023_ETH_USDT__4h_ema25_dist0.004
37,3,28,cand_028_ETH_USDT,ETH/USDT,30,20,0.236,0.436,0.005,0.053,25,True,15,0.008,close_above_ema,4,6,78,0.2948717948717949,236.88639331517493,18477.138678583644,1.8477138678583644,cand_028_ETH_USDT__4h_ema15_dist0.008
38,5,30,cand_030_ETH_USDT,ETH/USDT,30,20,0.236,0.436,0.008,0.053,25,True,30,0.004,close_above_ema,4,6,81,0.30864197530864196,236.8654884483453,19186.10456431597,1.9186104564315971,cand_030_ETH_USDT__4h_ema30_dist0.004
