symbol,side,sma,ema,fib_floor,fib_band,rw,eb,rw_lookback,total_return,total_trades,win_rate,expectancy
AVAX/USDT,short,40,20,0.236,0.336,0.041,0.058,8,1.300606820779769,13,0.5384615384615384,1000.4667852152068
AVAX/USDT,short,40,20,0.236,0.336,0.044,0.058,8,1.300606820779769,13,0.5384615384615384,1000.4667852152068
AVAX/USDT,short,40,20,0.236,0.336,0.047,0.058,8,1.300606820779769,13,0.5384615384615384,1000.4667852152068
AVAX/USDT,short,30,20,0.236,0.286,0.008,0.058,12,1.3005606398600482,13,0.6153846153846154,1000.4312614308064
AVAX/USDT,short,30,20,0.236,0.286,0.011,0.058,12,1.3005606398600482,13,0.6153846153846154,1000.4312614308064
AVAX/USDT,short,35,20,0.236,0.286,0.008,0.058,12,1.3005606398600482,13,0.6153846153846154,1000.4312614308064
AVAX/USDT,short,35,20,0.236,0.286,0.011,0.058,12,1.3005606398600482,13,0.6153846153846154,1000.4312614308064
AVAX/USDT,short,40,20,0.236,0.286,0.008,0.058,12,1.3005606398600482,13,0.6153846153846154,1000.4312614308064
AVAX/USDT,short,40,20,0.236,0.286,0.011,0.058,12,1.3005606398600482,13,0.6153846153846154,1000.4312614308064
AVAX/USDT,short,30,20,0.236,0.286,0.026,0.058,10,1.1987719326000654,12,0.5833333333333334,998.9766105000546
AVAX/USDT,short,30,20,0.236,0.286,0.029,0.058,10,1.1987719326000654,12,0.5833333333333334,998.9766105000546
AVAX/USDT,short,30,20,0.236,0.286,0.032,0.058,10,1.1987719326000654,12,0.5833333333333334,998.9766105000546
AVAX/USDT,short,30,20,0.236,0.286,0.035,0.058,10,1.1987719326000654,12,0.5833333333333334,998.9766105000546
AVAX/USDT,short,30,20,0.236,0.286,0.038,0.058,10,1.1987719326000654,12,0.5833333333333334,998.9766105000546
AVAX/USDT,short,30,20,0.236,0.286,0.041,0.058,10,1.1987719326000654,12,0.5833333333333334,998.9766105000546
AVAX/USDT,short,30,20,0.236,0.286,0.044,0.058,10,1.1987719326000654,12,0.5833333333333334,998.9766105000546
AVAX/USDT,short,35,20,0.236,0.286,0.026,0.058,10,1.1987719326000654,12,0.5833333333333334,998.9766105000546
AVAX/USDT,short,35,20,0.236,0.286,0.029,0.058,10,1.1987719326000654,12,0.5833333333333334,998.9766105000546
AVAX/USDT,short,35,20,0.236,0.286,0.032,0.058,10,1.1987719326000654,12,0.5833333333333334,998.9766105000546
AVAX/USDT,short,35,20,0.236,0.286,0.035,0.058,10,1.1987719326000654,12,0.5833333333333334,998.9766105000546
AVAX/USDT,short,35,20,0.236,0.286,0.038,0.058,10,1.1987719326000654,12,0.5833333333333334,998.9766105000546
AVAX/USDT,short,35,20,0.236,0.286,0.041,0.058,10,1.1987719326000654,12,0.5833333333333334,998.9766105000546
AVAX/USDT,short,35,20,0.236,0.286,0.044,0.058,10,1.1987719326000654,12,0.5833333333333334,998.9766105000546
AVAX/USDT,short,30,20,0.236,0.336,0.041,0.058,8,1.2984559668752227,13,0.5384615384615384,998.8122822117098
AVAX/USDT,short,30,20,0.236,0.336,0.044,0.058,8,1.2984559668752227,13,0.5384615384615384,998.8122822117098
AVAX/USDT,short,30,20,0.236,0.336,0.047,0.058,8,1.2984559668752227,13,0.5384615384615384,998.8122822117098
AVAX/USDT,short,35,20,0.236,0.336,0.041,0.058,8,1.2984559668752227,13,0.5384615384615384,998.8122822117098
AVAX/USDT,short,35,20,0.236,0.336,0.044,0.058,8,1.2984559668752227,13,0.5384615384615384,998.8122822117098
AVAX/USDT,short,35,20,0.236,0.336,0.047,0.058,8,1.2984559668752227,13,0.5384615384615384,998.8122822117098
AVAX/USDT,short,40,20,0.236,0.336,0.026,0.053,10,1.3656004826402472,14,0.5,975.4289161716052
AVAX/USDT,short,40,20,0.236,0.336,0.029,0.053,10,1.3656004826402472,14,0.5,975.4289161716052
AVAX/USDT,short,40,20,0.236,0.336,0.032,0.053,10,1.3656004826402472,14,0.5,975.4289161716052
AVAX/USDT,short,40,20,0.236,0.336,0.035,0.053,10,1.3656004826402472,14,0.5,975.4289161716052
AVAX/USDT,short,30,20,0.236,0.336,0.026,0.053,10,1.363449628735701,14,0.5,973.892591954072
AVAX/USDT,short,30,20,0.236,0.336,0.029,0.053,10,1.363449628735701,14,0.5,973.892591954072
AVAX/USDT,short,30,20,0.236,0.336,0.032,0.053,10,1.363449628735701,14,0.5,973.892591954072
AVAX/USDT,short,30,20,0.236,0.336,0.035,0.053,10,1.363449628735701,14,0.5,973.892591954072
AVAX/USDT,short,35,20,0.236,0.336,0.026,0.053,10,1.363449628735701,14,0.5,973.892591954072
AVAX/USDT,short,35,20,0.236,0.336,0.029,0.053,10,1.363449628735701,14,0.5,973.892591954072
