symbol,sma,ema,fib_min,fib_max,rw,eb,total_return,sharpe,total_trades,win_rate,expectancy,trades_recent,win_rate_recent,expectancy_recent
ETH/USDT,40,22,0.5,0.7,0.03,0.005,0.0398063376362506,,4,0.5,93.64973449707033,0,0.0,0.0
ETH/USDT,40,22,0.5,0.786,0.03,0.005,0.0398063376362506,,4,0.5,93.64973449707033,0,0.0,0.0
ETH/USDT,45,20,0.5,0.7,0.01,0.005,0.048502895239403,,5,0.4,89.966650390625,0,0.0,0.0
ETH/USDT,45,20,0.5,0.786,0.03,0.005,0.048502895239403,,5,0.4,89.966650390625,0,0.0,0.0
ETH/USDT,45,20,0.5,0.7,0.02,0.005,0.048502895239403,,5,0.4,89.966650390625,0,0.0,0.0
ETH/USDT,50,20,0.5,0.786,0.03,0.005,0.048502895239403,,5,0.4,89.966650390625,0,0.0,0.0
ETH/USDT,50,20,0.5,0.7,0.02,0.005,0.048502895239403,,5,0.4,89.966650390625,0,0.0,0.0
ETH/USDT,50,20,0.5,0.7,0.01,0.005,0.048502895239403,,5,0.4,89.966650390625,0,0.0,0.0
ETH/USDT,40,25,0.5,0.7,0.03,0.01,0.0395414429728532,,5,0.4,74.4107666015625,0,0.0,0.0
ETH/USDT,40,22,0.5,0.7,0.03,0.01,0.0398063376362506,,5,0.4,72.91978759765625,0,0.0,0.0
ETH/USDT,40,22,0.5,0.786,0.01,0.005,0.0398063376362506,,5,0.4,72.91978759765625,0,0.0,0.0
ETH/USDT,40,22,0.5,0.7,0.02,0.005,0.0398063376362506,,5,0.4,72.91978759765625,0,0.0,0.0
ETH/USDT,40,22,0.5,0.7,0.01,0.005,0.0398063376362506,,5,0.4,72.91978759765625,0,0.0,0.0
ETH/USDT,50,22,0.5,0.7,0.03,0.005,0.0398063376362506,,5,0.4,72.91978759765625,0,0.0,0.0
ETH/USDT,45,22,0.5,0.7,0.03,0.005,0.0398063376362506,,5,0.4,72.91978759765625,0,0.0,0.0
ETH/USDT,40,22,0.5,0.786,0.02,0.005,0.0398063376362506,,5,0.4,72.91978759765625,0,0.0,0.0
ETH/USDT,40,18,0.5,0.7,0.03,0.01,0.0281993801837068,,4,0.5,71.59221649169922,0,0.0,0.0
ETH/USDT,40,20,0.5,0.7,0.03,0.01,0.0281993801837068,,4,0.5,71.59221649169922,0,0.0,0.0
ETH/USDT,50,18,0.5,0.7,0.03,0.005,0.0206896663653547,,3,0.6666666666666666,71.43558247884114,0,0.0,0.0
ETH/USDT,45,18,0.5,0.7,0.03,0.005,0.0206896663653547,,3,0.6666666666666666,71.43558247884114,0,0.0,0.0
ETH/USDT,40,18,0.5,0.7,0.01,0.01,0.0281993801837068,,5,0.4,55.273773193359375,0,0.0,0.0
ETH/USDT,40,20,0.5,0.7,0.03,0.015,0.0281993801837068,,5,0.4,55.273773193359375,0,0.0,0.0
ETH/USDT,40,20,0.5,0.7,0.02,0.01,0.0281993801837068,,5,0.4,55.273773193359375,0,0.0,0.0
ETH/USDT,40,18,0.5,0.7,0.03,0.015,0.0281993801837068,,5,0.4,55.273773193359375,0,0.0,0.0
ETH/USDT,40,18,0.5,0.786,0.03,0.01,0.0281993801837068,,5,0.4,55.273773193359375,0,0.0,0.0
ETH/USDT,40,18,0.5,0.7,0.02,0.01,0.0281993801837068,,5,0.4,55.273773193359375,0,0.0,0.0
ETH/USDT,40,20,0.5,0.786,0.03,0.01,0.0281993801837068,,5,0.4,55.273773193359375,0,0.0,0.0
ETH/USDT,45,20,0.5,0.7,0.03,0.01,0.0281993801837068,,5,0.4,55.273773193359375,0,0.0,0.0
ETH/USDT,50,20,0.5,0.7,0.03,0.01,0.0281993801837068,,5,0.4,55.273773193359375,0,0.0,0.0
ETH/USDT,50,18,0.5,0.7,0.02,0.005,0.0206896663653547,,4,0.5,51.07668685913086,0,0.0,0.0
ETH/USDT,45,18,0.5,0.786,0.03,0.005,0.0206896663653547,,4,0.5,51.07668685913086,0,0.0,0.0
ETH/USDT,45,18,0.5,0.7,0.01,0.005,0.0206896663653547,,4,0.5,51.07668685913086,0,0.0,0.0
ETH/USDT,45,18,0.5,0.7,0.02,0.005,0.0206896663653547,,4,0.5,51.07668685913086,0,0.0,0.0
ETH/USDT,50,18,0.5,0.786,0.03,0.005,0.0206896663653547,,4,0.5,51.07668685913086,0,0.0,0.0
ETH/USDT,50,18,0.5,0.7,0.01,0.005,0.0206896663653547,,4,0.5,51.07668685913086,0,0.0,0.0
ETH/USDT,45,18,0.5,0.7,0.03,0.01,0.0009247347639873,,5,0.4,4.16846923828125,0,0.0,0.0
ETH/USDT,50,18,0.5,0.7,0.03,0.01,0.0009247347639873,,5,0.4,4.16846923828125,0,0.0,0.0
