evaluation_index,first_seen_stage,portfolio_size,portfolio_param_ids,priority_1_param_id,priority_2_param_id,priority_3_param_id,priority_4_param_id,priority_5_param_id,friction_preset,active_pairs,watchlist_size,total_trades,closed_positions,win_rate,expectancy,total_profit,total_return,ending_equity,peak_equity,max_dd_dollars,max_dd_pct,breached,consistency_score,overall_survival,max_concurrent_observed,same_symbol_opposite_conflicts,same_pair_duplicate_blocks,stacked_same_side_entries,internal_pair_conflicts,entry_rejections,partial_fill_events,extra_latency_events,long_total_trades,short_total_trades,long_closed_positions,short_closed_positions,long_total_profit,short_total_profit,backtest_start,backtest_end,true_months_window,dynamic_symbol_count,activated_symbol_count,winning_positions,losing_positions,breakeven_positions,position_win_rate,avg_position_pnl,avg_winner_pnl,avg_loser_pnl,profit_factor,avg_holding_days,median_holding_days,best_position_pnl,worst_position_pnl,max_consecutive_position_wins,max_consecutive_position_losses,avg_support_pair_count,cagr,daily_sharpe,daily_sortino,calmar,months_traded,profitable_months,losing_months,monthly_win_rate,best_month_return_pct,worst_month_return_pct,stacking_profit_delta_vs_netted,friction_profit_delta_vs_reference,duplicate_pair_family_count,duplicate_long_symbol_count,duplicate_short_symbol_count,duplicate_long_param_count,duplicate_short_param_count,diversity_penalty,penalized_expectancy,replacement_param_id,replacement_analysis_rank,replacement_standalone_expectancy,replacement_standalone_max_dd_pct,replacement_standalone_consistency_score,strict_target_pass
1,slot2_repair,4,combined__cand_002_AVAX_USDT__4h_ema15_dist0.008__short_cand_067_DOGE_USDT__4h_ema20_dist0.004|combined__cand_002_AVAX_USDT__4h_ema20_dist0.008__short_cand_076_ETH_USDT__4h_ema15_dist0.000|combined__cand_002_AVAX_USDT__4h_ema20_dist0.008__short_cand_067_DOGE_USDT__4h_ema20_dist0.004|combined__cand_008_AVAX_USDT__4h_ema15_dist0.008__short_cand_067_DOGE_USDT__4h_ema20_dist0.004,combined__cand_002_AVAX_USDT__4h_ema15_dist0.008__short_cand_067_DOGE_USDT__4h_ema20_dist0.004,combined__cand_002_AVAX_USDT__4h_ema20_dist0.008__short_cand_076_ETH_USDT__4h_ema15_dist0.000,combined__cand_002_AVAX_USDT__4h_ema20_dist0.008__short_cand_067_DOGE_USDT__4h_ema20_dist0.004,combined__cand_008_AVAX_USDT__4h_ema15_dist0.008__short_cand_067_DOGE_USDT__4h_ema20_dist0.004,,baseline,4,10,77,53,0.4805194805194805,0.44741137741304743,34.45067606080465,0.006890135212160931,5034.450676060805,5173.251285266755,155.5188052850326,3.0062101512050057,True,33.09172282082064,False,4,23,50,24,0,0,2,17,56,21,38,15,62.724676278701295,-28.27400021790048,2023-06-16 00:00,2026-03-31 08:00,34,1,10,24,29,0,0.4528301886792453,0.6500127558641666,12.433863303543115,-9.102139421525308,1.1305137497800593,12.61320754716981,8.0,17.883917745221282,-10.000000000000002,10,8,1.0,0.0024625707769887484,0.1604399884492714,0.08624905509273173,0.08191612206490802,33,6,5,0.18181818181818182,1.802008378010056,-1.0026350596971323,-320.57313351539045,0.0,2.0,3.0,2.0,1.0,2.0,1.0500000000000003,-0.6025886225869528,combined__cand_002_AVAX_USDT__4h_ema20_dist0.008__short_cand_076_ETH_USDT__4h_ema15_dist0.000,3,1.0736572242300388,2.440516569740005,5.319787425085199,False
3,slot2_repair,4,combined__cand_002_AVAX_USDT__4h_ema15_dist0.008__short_cand_067_DOGE_USDT__4h_ema20_dist0.004|combined__cand_002_AVAX_USDT__4h_ema15_dist0.000__short_cand_076_ETH_USDT__4h_ema15_dist0.000|combined__cand_002_AVAX_USDT__4h_ema20_dist0.008__short_cand_067_DOGE_USDT__4h_ema20_dist0.004|combined__cand_008_AVAX_USDT__4h_ema15_dist0.008__short_cand_067_DOGE_USDT__4h_ema20_dist0.004,combined__cand_002_AVAX_USDT__4h_ema15_dist0.008__short_cand_067_DOGE_USDT__4h_ema20_dist0.004,combined__cand_002_AVAX_USDT__4h_ema15_dist0.000__short_cand_076_ETH_USDT__4h_ema15_dist0.000,combined__cand_002_AVAX_USDT__4h_ema20_dist0.008__short_cand_067_DOGE_USDT__4h_ema20_dist0.004,combined__cand_008_AVAX_USDT__4h_ema15_dist0.008__short_cand_067_DOGE_USDT__4h_ema20_dist0.004,,baseline,4,10,79,54,0.4810126582278481,0.4585246961947241,36.2234509993832,0.007244690199876641,5036.223450999383,5159.417870622155,157.9246471865781,3.0609004958835517,True,31.47221459417107,False,4,24,51,21,0,0,1,15,58,21,39,15,64.49745121728006,-28.27400021790048,2023-06-16 00:00,2026-03-31 08:00,34,1,10,25,29,0,0.46296296296296297,0.6708046481366581,12.18317218561735,-9.253650125553593,1.1349828986694328,11.614197530864196,7.0,17.883917745221282,-10.000000000000002,10,6,1.0,0.00258899761951481,0.1750810404088749,0.10186661685606925,0.08458287432069812,33,6,4,0.18181818181818182,1.8070162082286956,-1.0053595207596633,-318.8003585768119,0.0,2.0,3.0,2.0,0.0,2.0,1.0000000000000002,-0.5414753038052762,combined__cand_002_AVAX_USDT__4h_ema15_dist0.000__short_cand_076_ETH_USDT__4h_ema15_dist0.000,7,0.8418550297011913,2.8621015921679787,6.249183137171534,False
4,slot2_repair,4,combined__cand_002_AVAX_USDT__4h_ema15_dist0.008__short_cand_067_DOGE_USDT__4h_ema20_dist0.004|combined__cand_002_AVAX_USDT__4h_ema20_dist0.008__short_cand_082_ETH_USDT__4h_ema20_dist0.000|combined__cand_002_AVAX_USDT__4h_ema20_dist0.008__short_cand_067_DOGE_USDT__4h_ema20_dist0.004|combined__cand_008_AVAX_USDT__4h_ema15_dist0.008__short_cand_067_DOGE_USDT__4h_ema20_dist0.004,combined__cand_002_AVAX_USDT__4h_ema15_dist0.008__short_cand_067_DOGE_USDT__4h_ema20_dist0.004,combined__cand_002_AVAX_USDT__4h_ema20_dist0.008__short_cand_082_ETH_USDT__4h_ema20_dist0.000,combined__cand_002_AVAX_USDT__4h_ema20_dist0.008__short_cand_067_DOGE_USDT__4h_ema20_dist0.004,combined__cand_008_AVAX_USDT__4h_ema15_dist0.008__short_cand_067_DOGE_USDT__4h_ema20_dist0.004,,baseline,4,10,134,92,0.5,0.5049745975702196,67.66659607440943,0.013533319214881885,5067.666596074409,5227.0457238853805,160.39984401242418,3.068652016558129,True,16.84778442143587,False,4,27,98,47,0,0,9,30,71,63,46,46,116.34597589082543,-48.67937981641103,2023-06-16 00:00,2026-03-31 08:00,34,1,10,42,50,0,0.45652173913043476,0.7355064790697213,12.891844521744934,-9.475817476777458,1.142819542989818,12.320652173913043,7.0,17.883917745221282,-13.844574038627837,10,15,1.0,0.004826660088973478,0.23520007817754598,0.18719612142980885,0.15728926130852633,33,10,6,0.30303030303030304,1.7462451840108306,-1.1332161420354758,-287.3572135017857,0.0,2.0,3.0,2.0,1.0,2.0,1.0500000000000003,-0.5450254024297807,combined__cand_002_AVAX_USDT__4h_ema20_dist0.008__short_cand_082_ETH_USDT__4h_ema20_dist0.000,8,0.8375188506048343,2.732307713245224,6.752511895354772,False
2,slot2_repair,4,combined__cand_002_AVAX_USDT__4h_ema15_dist0.008__short_cand_067_DOGE_USDT__4h_ema20_dist0.004|combined__cand_008_AVAX_USDT__4h_ema15_dist0.008__short_cand_076_ETH_USDT__4h_ema15_dist0.000|combined__cand_002_AVAX_USDT__4h_ema20_dist0.008__short_cand_067_DOGE_USDT__4h_ema20_dist0.004|combined__cand_008_AVAX_USDT__4h_ema15_dist0.008__short_cand_067_DOGE_USDT__4h_ema20_dist0.004,combined__cand_002_AVAX_USDT__4h_ema15_dist0.008__short_cand_067_DOGE_USDT__4h_ema20_dist0.004,combined__cand_008_AVAX_USDT__4h_ema15_dist0.008__short_cand_076_ETH_USDT__4h_ema15_dist0.000,combined__cand_002_AVAX_USDT__4h_ema20_dist0.008__short_cand_067_DOGE_USDT__4h_ema20_dist0.004,combined__cand_008_AVAX_USDT__4h_ema15_dist0.008__short_cand_067_DOGE_USDT__4h_ema20_dist0.004,,baseline,4,10,198,134,0.48484848484848486,0.5499556164489912,108.89121205690026,0.02177824241138005,5108.8912120569,5268.270291926971,164.77694312747826,3.127723787824256,True,10.542974465768468,False,4,35,119,70,0,0,10,44,102,96,65,69,154.8171449313955,-45.925932874496254,2023-06-16 00:00,2026-03-31 08:00,34,1,10,64,70,0,0.47761194029850745,0.8126209854992488,11.900683852152945,-9.32503649258413,1.1668185153920947,11.019900497512438,7.0,18.01887018847082,-10.785473308975096,10,8,1.0,0.007746965297786623,0.3169072105929783,0.3026450772577851,0.2476870025398137,33,13,8,0.3939393939393939,1.2745976518119262,-1.1809491307342324,-246.13259751929485,0.0,2.0,3.0,2.0,1.0,2.0,1.0500000000000003,-0.5000443835510091,combined__cand_008_AVAX_USDT__4h_ema15_dist0.008__short_cand_076_ETH_USDT__4h_ema15_dist0.000,6,0.9276903846571442,2.858818548214501,6.243797525152101,False
