shortlist_priority,param_id,long_param_id,short_param_id,long_source_symbol,short_source_symbol,long_confirm_ema_period,long_confirm_min_distance,short_confirm_ema_period,short_confirm_min_distance,total_trades,long_total_trades,short_total_trades,win_rate,expectancy,max_dd_pct,consistency_score,signal_conflicts,composite_score,shortlist_role,shortlist_rationale
1,combined__cand_002_AVAX_USDT__4h_ema15_dist0.008__short_cand_061_DOGE_USDT,cand_002_AVAX_USDT__4h_ema15_dist0.008,short_cand_061_DOGE_USDT,AVAX/USDT,DOGE/USDT,15,0.008,20,0.0,106,47,59,0.5943396226415094,2.0980780102858336,1.976391828988948,5.245891360672836,0,100.0,primary,"Best overall combined pair after deduplication, balancing expectancy, drawdown control, and consistency."
2,combined__cand_002_AVAX_USDT__4h_ema15_dist0.008__short_cand_062_DOGE_USDT,cand_002_AVAX_USDT__4h_ema15_dist0.008,short_cand_062_DOGE_USDT,AVAX/USDT,DOGE/USDT,15,0.008,20,0.0,106,47,59,0.5849056603773585,1.846505683241808,2.1327660530992314,5.960604079405254,0,0.0,secondary,Closest clean alternate to the primary pair with a very similar edge profile.
