rank,param_id,source_symbol,side,sma,ema,fib_floor,fib_band,rw,eb,rw_lookback,confirm_enabled,confirm_mode,confirm_ema_period,confirm_min_distance,data_mode_used,total_trades,closed_positions,win_rate,expectancy,total_profit,total_return,ending_equity,peak_equity,max_dd_dollars,max_dd_pct,breached,consistency_score,overall_survival,max_concurrent_observed
2,short_cand_061_DOGE_USDT__4h_ema20_dist0.000,DOGE/USDT,short,80,20,0.236,0.686,0.05,0.028,10,True,close_below_ema,20,0.0,"1D, 4H->1D",50,32,0.6,2.398417813050405,119.92089065252024,0.023984178130504047,5119.920890652527,5126.388291183858,89.6565954031048,1.7604723347062021,False,9.728635772454117,True,4
1,short_cand_062_DOGE_USDT__4h_ema20_dist0.000,DOGE/USDT,short,75,20,0.236,0.686,0.05,0.028,10,True,close_below_ema,20,0.0,"1D, 4H->1D",51,33,0.5882352941176471,2.1553115814219654,109.92089065252024,0.02198417813050405,5109.920890652527,5116.388291183858,89.6565954031048,1.7639359509945047,False,10.613693718646356,True,4
