month,monthly_return_pct,month_end_equity
2023-07,-1.5129299286575582,4845.336460558677
2023-08,0.0,4845.336460558677
2023-09,0.0,4845.336460558677
2023-10,0.0,4845.336460558677
2023-11,0.0,4845.336460558677
2023-12,0.0,4845.336460558677
2024-01,0.0,4845.336460558677
2024-02,0.0,4845.336460558677
2024-03,0.0,4845.336460558677
2024-04,0.0,4845.336460558677
2024-05,0.0,4845.336460558677
2024-06,0.0,4845.336460558677
2024-07,0.0,4845.336460558677
2024-08,0.0,4845.336460558677
2024-09,0.0,4845.336460558677
2024-10,0.0,4845.336460558677
2024-11,0.0,4845.336460558677
2024-12,0.0,4845.336460558677
2025-01,0.0,4845.336460558677
2025-02,0.0,4845.336460558677
2025-03,0.0,4845.336460558677
2025-04,0.0,4845.336460558677
2025-05,0.0,4845.336460558677
2025-06,0.0,4845.336460558677
2025-07,0.0,4845.336460558677
2025-08,0.0,4845.336460558677
2025-09,0.0,4845.336460558677
2025-10,0.0,4845.336460558677
2025-11,0.0,4845.336460558677
2025-12,0.0,4845.336460558677
2026-01,0.0,4845.336460558677
2026-02,0.0,4845.336460558677
2026-03,0.0,4845.336460558677
