shortlist_priority,param_id,source_symbol,sma,fib_band,rw,eb,rw_lookback,confirm_ema_period,confirm_min_distance,total_trades,win_rate,expectancy,max_dd_pct,consistency_score,composite_score,shortlist_role,shortlist_rationale
1,short_cand_061_DOGE_USDT,DOGE/USDT,80,0.686,0.05,0.028,10,20,0.0,63,0.6507936507936508,3.304363843676246,1.7495933981647795,5.604261332770146,93.27816324632232,primary,"Best overall short candidate after deduplication, balancing expectancy, drawdown control, and consistency."
2,short_cand_062_DOGE_USDT,DOGE/USDT,75,0.686,0.05,0.028,10,20,0.0,63,0.6349206349206349,2.8810834203958224,1.755302339358522,6.427623159892512,83.72162708356853,secondary,Closest clean alternate to the primary short candidate with a very similar edge profile.
3,short_cand_070_DOGE_USDT,DOGE/USDT,80,0.686,0.044,0.028,10,20,0.0,74,0.6216216216216216,2.9257872362829302,1.7551230955468913,5.3885551109982295,83.45592517616942,throughput_variant,Short candidate with especially strong trailing-drawdown control for the short side.
4,short_cand_076_ETH_USDT,ETH/USDT,75,0.536,0.011,0.023,8,20,0.0,84,0.6309523809523809,3.0317040829735507,2.1310134368667515,4.581215220473107,82.79718259515079,alternate_base,Short candidate with a relatively comfortable consistency profile under Maven rules.
5,short_cand_075_DOGE_USDT,DOGE/USDT,80,0.636,0.041,0.028,10,20,0.0,75,0.6266666666666667,2.9089989620213803,1.868159612911408,5.34739123617509,82.72022657811871,reserve,Short candidate with especially strong trailing-drawdown control for the short side.
