trade_id,event_kind,source_pair_id,support_pair_ids,support_pair_count,support_pair_expectancy_mean,side,symbol,signal_dt,entry_dt,exit_dt,entry_ref_price,entry_fill_price,exit_ref_price,exit_fill_price,size,gross_price_pnl,entry_fee_allocated,exit_fee,spread_cost,slippage_cost,pnl,reason,latency_bars,partial_fill_ratio,rejected_entry_flag,friction_preset
1.0,entry_filled,combined__cand_002_AVAX_USDT__4h_ema15_dist0.008__short_cand_088_ETH_USDT__4h_ema20_dist0.000,combined__cand_002_AVAX_USDT__4h_ema15_dist0.008__short_cand_088_ETH_USDT__4h_ema20_dist0.000,1,2.8093317976574874,long,DOGE/USDT,2023-06-23,2023-06-24 00:00:00,,0.06823,0.068380106,,,1822.0130493012991,0.0,0.12458944544460605,0.0,0.14917914042459315,0.12431595035382764,-0.12458944544460605,entry_filled,0,1.0,False,stress
2.0,entry_filled,combined__cand_002_AVAX_USDT__4h_ema15_dist0.000__short_cand_088_ETH_USDT__4h_ema20_dist0.000,combined__cand_002_AVAX_USDT__4h_ema15_dist0.000__short_cand_088_ETH_USDT__4h_ema20_dist0.000,1,2.710105416612176,long,DOGE/USDT,2023-06-23,2023-06-24 00:00:00,,0.06823,0.068380106,,,1025.3374095911784,0.0,0.0701126807536102,0.0,0.0839505257476873,0.0699587714564061,-0.0701126807536102,entry_filled,0,0.5627497618550933,False,stress
3.0,entry_filled,combined__cand_002_AVAX_USDT__4h_ema15_dist0.008__short_cand_088_ETH_USDT__4h_ema15_dist0.000,combined__cand_002_AVAX_USDT__4h_ema15_dist0.008__short_cand_088_ETH_USDT__4h_ema15_dist0.000,1,2.779529070266362,long,DOGE/USDT,2023-06-23,2023-06-24 00:00:00,,0.06823,0.068380106,,,1822.0130493012991,0.0,0.12458944544460605,0.0,0.14917914042459315,0.12431595035382764,-0.12458944544460605,entry_filled,0,1.0,False,stress
4.0,entry_filled,combined__cand_002_AVAX_USDT__4h_ema15_dist0.000__short_cand_088_ETH_USDT__4h_ema15_dist0.000,combined__cand_002_AVAX_USDT__4h_ema15_dist0.000__short_cand_088_ETH_USDT__4h_ema15_dist0.000,1,2.672049769214279,long,DOGE/USDT,2023-06-23,2023-06-24 00:00:00,,0.06823,0.068380106,,,1822.0130493012991,0.0,0.12458944544460605,0.0,0.14917914042459315,0.12431595035382764,-0.12458944544460605,entry_filled,0,1.0,False,stress
1.0,exit_fragment,combined__cand_002_AVAX_USDT__4h_ema15_dist0.008__short_cand_088_ETH_USDT__4h_ema20_dist0.000,combined__cand_002_AVAX_USDT__4h_ema15_dist0.008__short_cand_088_ETH_USDT__4h_ema20_dist0.000,1,2.8093317976574874,long,DOGE/USDT,2023-06-23,2023-06-24 00:00:00,2023-06-26 00:00:00,0.06823,0.068380106,0.06322539555045924,0.06302307428469776,1822.0130493012991,-9.760581690801589,0.12458944544460605,0.11482886375380447,0.13823699488820762,0.23039499148034606,-9.999999999999998,stop_loss,0,1.0,False,stress
2.0,exit_fragment,combined__cand_002_AVAX_USDT__4h_ema15_dist0.000__short_cand_088_ETH_USDT__4h_ema20_dist0.000,combined__cand_002_AVAX_USDT__4h_ema15_dist0.000__short_cand_088_ETH_USDT__4h_ema20_dist0.000,1,2.710105416612176,long,DOGE/USDT,2023-06-23,2023-06-24 00:00:00,2023-06-26 00:00:00,0.06823,0.068380106,0.06322539555045924,0.06302307428469776,1025.3374095911784,-5.492765022065778,0.0701126807536102,0.06461991573154441,0.07779283595290258,0.12965472658817098,-5.627497618550932,stop_loss,0,0.5627497618550933,False,stress
3.0,exit_fragment,combined__cand_002_AVAX_USDT__4h_ema15_dist0.008__short_cand_088_ETH_USDT__4h_ema15_dist0.000,combined__cand_002_AVAX_USDT__4h_ema15_dist0.008__short_cand_088_ETH_USDT__4h_ema15_dist0.000,1,2.779529070266362,long,DOGE/USDT,2023-06-23,2023-06-24 00:00:00,2023-06-26 00:00:00,0.06823,0.068380106,0.06322539555045924,0.06302307428469776,1822.0130493012991,-9.760581690801589,0.12458944544460605,0.11482886375380447,0.13823699488820762,0.23039499148034606,-9.999999999999998,stop_loss,0,1.0,False,stress
4.0,exit_fragment,combined__cand_002_AVAX_USDT__4h_ema15_dist0.000__short_cand_088_ETH_USDT__4h_ema15_dist0.000,combined__cand_002_AVAX_USDT__4h_ema15_dist0.000__short_cand_088_ETH_USDT__4h_ema15_dist0.000,1,2.672049769214279,long,DOGE/USDT,2023-06-23,2023-06-24 00:00:00,2023-06-26 00:00:00,0.06823,0.068380106,0.06322539555045924,0.06302307428469776,1822.0130493012991,-9.760581690801589,0.12458944544460605,0.11482886375380447,0.13823699488820762,0.23039499148034606,-9.999999999999998,stop_loss,0,1.0,False,stress
5.0,entry_filled,combined__cand_002_AVAX_USDT__4h_ema15_dist0.008__short_cand_088_ETH_USDT__4h_ema15_dist0.000,combined__cand_002_AVAX_USDT__4h_ema15_dist0.008__short_cand_088_ETH_USDT__4h_ema15_dist0.000,1,2.779529070266362,long,AVAX/USDT,2023-06-25,2023-06-27 00:00:00,,13.15,13.168409999999998,,,8.924431889951867,0.0,0.11752057814396105,0.0,0.09388502348229366,0.07041376761172023,-0.11752057814396105,entry_filled,1,1.0,False,stress
6.0,entry_filled,combined__cand_002_AVAX_USDT__4h_ema15_dist0.000__short_cand_088_ETH_USDT__4h_ema15_dist0.000,combined__cand_002_AVAX_USDT__4h_ema15_dist0.000__short_cand_088_ETH_USDT__4h_ema15_dist0.000,1,2.672049769214279,long,AVAX/USDT,2023-06-25,2023-06-27 00:00:00,,13.15,13.168409999999998,,,4.053731606454012,0.0,0.05338119982374507,0.0,0.042645256499896214,0.03198394237492216,-0.05338119982374507,entry_filled,1,0.45422853313701245,False,stress
7.0,entry_filled,combined__cand_002_AVAX_USDT__4h_ema15_dist0.008__short_cand_088_ETH_USDT__4h_ema20_dist0.000,combined__cand_002_AVAX_USDT__4h_ema15_dist0.008__short_cand_088_ETH_USDT__4h_ema20_dist0.000,1,2.8093317976574874,long,LINK/USDT,2023-06-27,2023-06-27 04:00:00,,6.189,6.1976645999999995,,,21.322346993306606,0.0,0.13214875514933278,0.0,0.10557120443325968,0.07917840332494475,-0.13214875514933278,entry_filled,0,1.0,False,stress
