shortlist_priority,param_id,long_param_id,short_param_id,long_source_symbol,short_source_symbol,long_confirm_ema_period,long_confirm_min_distance,short_confirm_ema_period,short_confirm_min_distance,total_trades,long_total_trades,short_total_trades,win_rate,expectancy,max_dd_pct,consistency_score,overall_survival,survival_probability_proxy,composite_score,signal_conflicts,shortlist_role,shortlist_rationale,portfolio_expectancy,portfolio_penalized_expectancy,portfolio_max_dd_pct,portfolio_consistency_score,portfolio_overall_survival,portfolio_diversity_penalty,portfolio_stacked_same_side_entries,portfolio_stacking_profit_delta_vs_netted
1,combined__cand_002_AVAX_USDT__4h_ema15_dist0.008__short_cand_067_DOGE_USDT__4h_ema20_dist0.004,cand_002_AVAX_USDT__4h_ema15_dist0.008,short_cand_067_DOGE_USDT__4h_ema20_dist0.004,AVAX/USDT,DOGE/USDT,15,0.008,20,0.004,198,103,95,0.5505050505050505,1.1961989722926911,1.7764425038349785,4.8422637554418415,True,0.8748608966424373,86.15304844123777,0,primary,"Selected under the corrected 34-month realistic baseline objective at priority 1. Portfolio penalized_expectancy=-0.6026, diversity_penalty=1.0500.",0.44741137741304743,-0.6025886225869528,3.0062101512050057,33.09172282082064,False,1.0500000000000003,24,-320.57313351539045
2,combined__cand_002_AVAX_USDT__4h_ema20_dist0.008__short_cand_076_ETH_USDT__4h_ema15_dist0.000,cand_002_AVAX_USDT__4h_ema20_dist0.008,short_cand_076_ETH_USDT__4h_ema15_dist0.000,AVAX/USDT,ETH/USDT,20,0.008,15,0.0,201,99,102,0.5472636815920398,1.0736572242300388,2.440516569740005,5.319787425085199,True,0.8380757658248608,79.6097432697745,0,secondary,"Selected under the corrected 34-month realistic baseline objective at priority 2. Portfolio penalized_expectancy=-0.6026, diversity_penalty=1.0500.",0.44741137741304743,-0.6025886225869528,3.0062101512050057,33.09172282082064,False,1.0500000000000003,24,-320.57313351539045
3,combined__cand_002_AVAX_USDT__4h_ema20_dist0.008__short_cand_067_DOGE_USDT__4h_ema20_dist0.004,cand_002_AVAX_USDT__4h_ema20_dist0.008,short_cand_067_DOGE_USDT__4h_ema20_dist0.004,AVAX/USDT,DOGE/USDT,20,0.008,20,0.004,196,102,94,0.5459183673469388,0.8858919438957762,2.105333328680344,6.611791699539695,True,0.845144895819435,73.1747323062964,0,throughput_variant,"Selected under the corrected 34-month realistic baseline objective at priority 3. Portfolio penalized_expectancy=-0.6026, diversity_penalty=1.0500.",0.44741137741304743,-0.6025886225869528,3.0062101512050057,33.09172282082064,False,1.0500000000000003,24,-320.57313351539045
4,combined__cand_008_AVAX_USDT__4h_ema15_dist0.008__short_cand_067_DOGE_USDT__4h_ema20_dist0.004,cand_008_AVAX_USDT__4h_ema15_dist0.008,short_cand_067_DOGE_USDT__4h_ema20_dist0.004,AVAX/USDT,DOGE/USDT,15,0.008,20,0.004,198,111,87,0.5404040404040404,1.0026888372427456,2.0278911718071755,5.776778111699862,True,0.8552796055718922,80.07473778019593,0,pair_diversifier,"Selected under the corrected 34-month realistic baseline objective at priority 4. Portfolio penalized_expectancy=-0.6026, diversity_penalty=1.0500.",0.44741137741304743,-0.6025886225869528,3.0062101512050057,33.09172282082064,False,1.0500000000000003,24,-320.57313351539045
