analysis_rank,rank,param_id,source_symbol,side,sma,ema,fib_floor,fib_band,rw,eb,rw_lookback,confirm_enabled,confirm_mode,confirm_ema_period,confirm_min_distance,data_mode_used,total_trades,closed_positions,win_rate,expectancy,total_profit,total_return,ending_equity,peak_equity,max_dd_dollars,max_dd_pct,breached,consistency_score,overall_survival,max_concurrent_observed,backtrader_rank,symbol,side_candidate,sma_candidate,ema_candidate,fib_floor_candidate,fib_band_candidate,rw_candidate,eb_candidate,rw_lookback_candidate,total_return_candidate,total_trades_candidate,win_rate_candidate,expectancy_candidate,score_expectancy,score_win_rate,score_drawdown,score_consistency,composite_score,drawdown_headroom_pct_pts,consistency_headroom_pct_pts,win_rate_sig,expectancy_sig,max_dd_pct_sig,consistency_sig,metric_duplicate_count,cluster_label,cluster_size,best_expectancy_flag,best_win_rate_flag,best_drawdown_flag,best_consistency_flag,ai_note
12,81,short_cand_081_ETH_USDT,ETH/USDT,short,80,20,0.236,0.586,0.047,0.038,8,False,disabled,20,0.0,"1D, 4H->1D",64,41,0.59375,2.551847770902754,163.31825733777626,0.0326636514675552,5163.318257337786,5179.048092427388,90.84790099923066,1.780337996796813,False,7.143516503814737,True,4,81,ETH/USDT,short,80,20,0.236,0.586,0.047,0.038,8,0.6878157888821932,12,0.5833333333333334,573.1798240684943,0.7144032184863264,0.6074054621848739,0.7145835903452133,0.8241254462753939,70.96342993405541,1.219662003203187,12.856483496185263,0.59375,2.551848,1.780338,7.143517,1,ETH/USDT | fib=0.586 | rw_lb=8,3,False,False,False,False,Balanced survivor with no obvious structural warning.
13,68,short_cand_068_DOGE_USDT,DOGE/USDT,short,75,20,0.236,0.686,0.038,0.018,10,False,disabled,20,0.0,"1D, 4H->1D",56,35,0.6071428571428571,2.6091610217607903,146.11301721860426,0.0292226034437208,5146.113017218614,5156.557932927558,103.8222987809122,2.0293883969333364,False,7.984686709474903,True,4,68,DOGE/USDT,short,75,20,0.236,0.686,0.038,0.018,10,0.5917528529666877,13,0.3846153846153846,455.1945022820674,0.7361548867567633,0.6995798319327727,0.5562509543000083,0.7663881163646894,69.70769824809999,0.9706116030666636,12.015313290525096,0.607143,2.609161,2.029388,7.984687,1,DOGE/USDT | fib=0.686 | rw_lb=10,6,False,False,False,False,Balanced survivor with no obvious structural warning.
14,79,short_cand_079_ETH_USDT,ETH/USDT,short,75,20,0.236,0.436,0.011,0.023,8,False,disabled,20,0.0,"1D, 4H->1D",74,49,0.6081081081081081,2.3205805610905417,171.72296152070007,0.03434459230414,5171.7229615207125,5182.755383844336,99.32966292804576,1.9411419307471556,False,6.793888576898512,True,4,79,ETH/USDT,short,75,20,0.236,0.436,0.011,0.023,8,0.708130969694537,12,0.5,590.1091414121142,0.6266321087629382,0.7062230297524416,0.6123532356264898,0.8481236606992094,68.79723747702786,1.0588580692528444,13.206111423101488,0.608108,2.320581,1.941142,6.793889,1,ETH/USDT | fib=0.436 | rw_lb=8,2,False,False,False,False,Balanced survivor with no obvious structural warning.
15,74,short_cand_074_DOGE_USDT,DOGE/USDT,short,80,20,0.236,0.636,0.055,0.048,10,False,disabled,20,0.0,"1D, 4H->1D",86,53,0.5930232558139535,2.5851175327373808,222.3201078154148,0.0444640215630829,5222.320107815429,5236.990426461527,127.50371221611748,2.449157147416301,False,5.247688471055047,True,4,74,DOGE/USDT,short,80,20,0.236,0.636,0.055,0.048,10,0.6664988724904861,15,0.4666666666666667,444.3325816603241,0.7270298416847865,0.6024037521985541,0.2893849193250142,0.9542537459284962,65.37891156900159,0.550842852583699,14.752311528944954,0.593023,2.585118,2.449157,5.247688,1,DOGE/USDT | fib=0.636 | rw_lb=10,5,False,False,False,False,Balanced survivor with no obvious structural warning.
16,87,short_cand_087_ETH_USDT,ETH/USDT,short,65,20,0.236,0.486,0.011,0.023,8,False,disabled,20,0.0,"1D, 4H->1D",81,54,0.6049382716049383,2.3684097487907687,191.84118965205224,0.0383682379304104,5191.8411896520665,5207.970669500796,120.15392095324842,2.352696051842738,False,6.081419056995439,True,4,87,ETH/USDT,short,65,20,0.236,0.486,0.011,0.023,8,0.725647231182781,13,0.6153846153846154,558.1901778329085,0.6447843616699799,0.6844070961718022,0.35070961316047244,0.8970270662705949,64.6323636513657,0.647303948157262,13.91858094300456,0.604938,2.36841,2.352696,6.081419,1,ETH/USDT | fib=0.486 | rw_lb=8,3,False,False,False,False,Balanced survivor with no obvious structural warning.
17,71,short_cand_071_DOGE_USDT,DOGE/USDT,short,70,20,0.236,0.386,0.017,0.033,8,False,disabled,20,0.0,"1D, 4H->1D",81,53,0.6049382716049383,2.137735849754499,173.15660383011442,0.0346313207660228,5173.156603830128,5185.90148900293,110.23022134507846,2.1640000790939338,False,6.737638882149101,True,4,71,DOGE/USDT,short,70,20,0.236,0.386,0.017,0.033,8,0.5401434171141303,12,0.5833333333333334,450.1195142617752,0.5572384267357787,0.6844070961718022,0.47067220209851335,0.8519846000920571,63.06665838385872,0.8359999209060662,13.262361117850899,0.604938,2.137736,2.164,6.737639,1,DOGE/USDT | fib=0.386 | rw_lb=8,1,False,False,False,False,Balanced survivor with no obvious structural warning.
18,97,short_cand_097_LINK_USDT,LINK/USDT,short,90,20,0.236,0.636,0.041,0.038,8,False,disabled,20,0.0,"1D, 4H->1D",60,40,0.6,2.249748733407382,134.98492400444292,0.0269969848008885,5134.984924004452,5150.714759094054,102.96231931807417,2.015110480883723,False,8.642940500735232,True,4,97,LINK/USDT,short,90,20,0.236,0.636,0.041,0.038,8,0.6734352719836718,12,0.5833333333333334,561.1960599863932,0.5997498364142775,0.6504201680672267,0.565328073164817,0.7212060401864897,62.98243074320651,0.984889519116277,11.357059499264768,0.6,2.249749,2.01511,8.642941,1,LINK/USDT | fib=0.636 | rw_lb=8,4,False,False,False,False,Balanced survivor with no obvious structural warning.
19,86,short_cand_086_ETH_USDT,ETH/USDT,short,65,20,0.236,0.536,0.008,0.023,8,False,disabled,20,0.0,"1D, 4H->1D",87,57,0.5977011494252874,2.275821566702432,197.9964763031116,0.0395992952606223,5197.996476303127,5211.30400283413,119.32966292804576,2.3335103998311646,False,5.892360755353162,True,4,86,ETH/USDT,short,65,20,0.236,0.536,0.008,0.023,8,0.7867853826778696,14,0.7142857142857143,561.9895590556212,0.6096450632983553,0.6345986670530284,0.3629068023863208,0.9100038948135302,62.66075783576517,0.6664896001688354,14.107639244646837,0.597701,2.275822,2.33351,5.892361,1,ETH/USDT | fib=0.536 | rw_lb=8,4,False,False,False,False,Balanced survivor with no obvious structural warning.
20,63,short_cand_063_DOGE_USDT,DOGE/USDT,short,80,20,0.236,0.636,0.05,0.043,10,False,disabled,20,0.0,"1D, 4H->1D",87,54,0.5862068965517241,2.440461009372584,212.3201078154148,0.0424640215630829,5212.320107815429,5227.096382484255,127.50371221611748,2.454658020281413,False,5.494847749799254,True,4,63,DOGE/USDT,short,80,20,0.236,0.636,0.05,0.043,10,0.7352153389085629,15,0.4666666666666667,490.1435592723753,0.6721294362413816,0.5554911619820339,0.28588776493054124,0.9372889072771481,61.87534276215298,0.5453419797185872,14.505152250200746,0.586207,2.440461,2.454658,5.494848,1,DOGE/USDT | fib=0.636 | rw_lb=10,5,False,False,False,False,Balanced survivor with no obvious structural warning.
21,33,short_cand_033_BNB_USDT,BNB/USDT,short,35,20,0.236,0.486,0.032,0.023,8,False,disabled,20,0.0,"1D, 4H->1D",84,54,0.5952380952380952,2.072371388866606,174.07919666479492,0.0348158393329589,5174.079196664809,5185.496101963698,109.84172851500988,2.1534123843353687,False,6.701930437519126,True,4,33,BNB/USDT,short,35,20,0.236,0.486,0.032,0.023,8,0.2812952446819934,13,0.3846153846153846,216.38095744768728,0.5324311431037417,0.6176470588235293,0.4774032799038357,0.8544356025578196,60.713044128452296,0.8465876156646313,13.298069562480874,0.595238,2.072371,2.153412,6.70193,1,BNB/USDT | fib=0.486 | rw_lb=8,2,False,False,False,False,Balanced survivor with no obvious structural warning.
