analysis_rank,rank,param_id,source_symbol,side,sma,ema,fib_floor,fib_band,rw,eb,rw_lookback,confirm_enabled,confirm_mode,confirm_ema_period,confirm_min_distance,data_mode_used,total_trades,closed_positions,win_rate,expectancy,total_profit,total_return,ending_equity,peak_equity,max_dd_dollars,max_dd_pct,breached,consistency_score,overall_survival,max_concurrent_observed,combined_rank,daily_param_id,source_symbol_candidate,side_candidate,sma_candidate,ema_candidate,fib_floor_candidate,fib_band_candidate,rw_candidate,eb_candidate,rw_lookback_candidate,confirm_enabled_candidate,confirm_mode_candidate,confirm_ema_period_candidate,confirm_min_distance_candidate,total_trades_candidate,win_rate_candidate,expectancy_candidate,total_profit_candidate,total_return_candidate,score_expectancy,score_win_rate,score_drawdown,score_consistency,composite_score,drawdown_headroom_pct_pts,consistency_headroom_pct_pts,win_rate_sig,expectancy_sig,max_dd_pct_sig,consistency_sig,metric_duplicate_count,cluster_label,cluster_size,best_expectancy_flag,best_win_rate_flag,best_drawdown_flag,best_consistency_flag,ai_note
42,72,short_cand_067_DOGE_USDT__4h_ema25_dist0.004,DOGE/USDT,short,70,20,0.236,0.686,0.05,0.028,10,True,close_below_ema,25,0.004,"1D, 4H->1D",58,37,0.603448275862069,2.4699004135491998,143.25422398585357,0.0286508447971707,5143.254223985862,5154.713647418392,89.6565954031048,1.755302339358522,False,8.144029782897542,True,4,72,short_cand_067_DOGE_USDT,DOGE/USDT,short,70,20,0.236,0.686,0.05,0.028,10,True,close_below_ema,25,0.004,73,0.3150684931506849,127.06930863618526,9276.059530441524,0.9276059530441524,0.7580361871570231,0.7010722826506206,0.7170343540493133,0.7683176767421495,73.76511423259058,1.244697660641478,11.855970217102458,0.603448,2.4699,1.755302,8.14403,3,DOGE/USDT | fib=0.686 | rw_lb=10 | 4h_ema=25 | 4h_dist=0.004,4,False,False,False,False,Shares identical outcome metrics with another survivor; treat as a threshold duplicate. Uses a 4H confirmation filter with EMA 25 and minimum distance 0.004.
43,123,short_cand_076_ETH_USDT__4h_ema30_dist0.004,ETH/USDT,short,75,20,0.236,0.536,0.011,0.023,8,True,close_below_ema,30,0.004,"1D, 4H->1D",74,48,0.5945945945945946,2.360312742834841,174.66314296977825,0.0349326285939556,5174.663142969791,5202.518401019983,86.85582021254868,1.6694956849267484,False,6.679524064607803,True,4,123,short_cand_076_ETH_USDT,ETH/USDT,short,75,20,0.236,0.536,0.011,0.023,8,True,close_below_ema,30,0.004,111,0.2882882882882883,76.96852717260066,8543.506516158674,0.8543506516158673,0.7005680343622461,0.6138823387145537,0.7734935424800429,0.8633785296123732,72.60438111239078,1.3305043150732516,13.320475935392196,0.594595,2.360313,1.669496,6.679524,1,ETH/USDT | fib=0.536 | rw_lb=8 | 4h_ema=30 | 4h_dist=0.004,4,False,False,False,False,Uses a 4H confirmation filter with EMA 30 and minimum distance 0.004.
44,216,short_cand_078_ETH_USDT__4h_ema30_dist0.000,ETH/USDT,short,80,20,0.236,0.536,0.011,0.023,8,True,close_below_ema,30,0.0,"1D, 4H->1D",75,49,0.6,2.351064128485932,176.3298096364449,0.0352659619272889,5176.329809636458,5186.484177753883,91.4995563696857,1.7644074890061594,False,6.6163893052008,True,4,216,short_cand_078_ETH_USDT,ETH/USDT,short,80,20,0.236,0.536,0.011,0.023,8,True,close_below_ema,30,0.0,115,0.2869565217391304,-0.4430993520968931,-50.95642549114271,-0.0050956425491142,0.6957180290735268,0.6671140939597311,0.7110433343195475,0.8674765976499599,72.59838200595686,1.2355925109938406,13.3836106947992,0.6,2.351064,1.764407,6.616389,1,ETH/USDT | fib=0.536 | rw_lb=8 | 4h_ema=30 | 4h_dist=0.000,4,False,False,False,False,Uses a 4H confirmation filter with EMA 30 and minimum distance 0.000.
45,215,short_cand_078_ETH_USDT__4h_ema30_dist0.004,ETH/USDT,short,80,20,0.236,0.536,0.011,0.023,8,True,close_below_ema,30,0.004,"1D, 4H->1D",72,47,0.5972222222222222,2.333284393098772,167.99647630311156,0.0335992952606223,5167.996476303124,5195.851734353316,86.85582021254868,1.6716377728464744,False,6.944590102959548,True,4,215,short_cand_078_ETH_USDT,ETH/USDT,short,80,20,0.236,0.536,0.011,0.023,8,True,close_below_ema,30,0.004,110,0.2909090909090909,1.1597212383547093,127.56933621901804,0.0127569336219018,0.6863942744648238,0.6397588864031815,0.7720840883264473,0.8461731316695956,72.38291616626923,1.3283622271535256,13.055409897040452,0.597222,2.333284,1.671638,6.94459,1,ETH/USDT | fib=0.536 | rw_lb=8 | 4h_ema=30 | 4h_dist=0.004,4,False,False,False,False,Uses a 4H confirmation filter with EMA 30 and minimum distance 0.004.
46,133,short_cand_088_ETH_USDT__4h_ema30_dist0.004,ETH/USDT,short,75,20,0.236,0.586,0.011,0.023,8,True,close_below_ema,30,0.004,"1D, 4H->1D",81,52,0.5925925925925926,2.437936498369121,197.4728563678988,0.0394945712735797,5197.472856367912,5215.851734353317,95.82613143602248,1.8372096508204023,False,5.907984966263548,True,4,133,short_cand_088_ETH_USDT,ETH/USDT,short,75,20,0.236,0.586,0.011,0.023,8,True,close_below_ema,30,0.004,127,0.2992125984251969,70.84539355458092,8997.364981431778,0.8997364981431778,0.7412741997042925,0.5941668738089315,0.6631408610294017,0.9134590201119112,72.3307664576998,1.1627903491795977,14.092015033736452,0.592593,2.437936,1.83721,5.907985,1,ETH/USDT | fib=0.586 | rw_lb=8 | 4h_ema=30 | 4h_dist=0.004,2,False,False,False,False,Uses a 4H confirmation filter with EMA 30 and minimum distance 0.004.
47,102,short_cand_067_DOGE_USDT__4h_ema25_dist0.008,DOGE/USDT,short,70,20,0.236,0.686,0.05,0.028,10,True,close_below_ema,25,0.008,"1D, 4H->1D",55,35,0.6,2.453107102773095,134.92089065252023,0.026984178130504,5134.920890652528,5147.084468422439,89.6565954031048,1.755302339358522,False,8.6470424337128,True,4,102,short_cand_067_DOGE_USDT,DOGE/USDT,short,70,20,0.236,0.686,0.05,0.028,10,True,close_below_ema,25,0.008,68,0.2941176470588235,101.85458669260149,6926.1118950969,0.69261118950969,0.7492297170192752,0.6671140939597311,0.7170343540493133,0.735667198841079,71.95492350247575,1.244697660641478,11.3529575662872,0.6,2.453107,1.755302,8.647042,1,DOGE/USDT | fib=0.686 | rw_lb=10 | 4h_ema=25 | 4h_dist=0.008,4,False,False,False,False,Uses a 4H confirmation filter with EMA 25 and minimum distance 0.008.
48,127,short_cand_088_ETH_USDT__4h_ema25_dist0.008,ETH/USDT,short,75,20,0.236,0.586,0.011,0.023,8,True,close_below_ema,25,0.008,"1D, 4H->1D",73,47,0.589041095890411,2.3854729182817187,174.13952303456546,0.034827904606913,5174.139523034577,5182.558609709086,85.82613143602248,1.6560699797830116,False,6.699608717976631,True,4,127,short_cand_088_ETH_USDT,ETH/USDT,short,75,20,0.236,0.586,0.011,0.023,8,True,close_below_ema,25,0.008,109,0.3027522935779816,75.725035597336,8254.028880109625,0.8254028880109625,0.7137621172138958,0.559192179216083,0.7823274076568789,0.8620748376875146,71.8495234897763,1.3439300202169884,13.30039128202337,0.589041,2.385473,1.65607,6.699609,1,ETH/USDT | fib=0.586 | rw_lb=8 | 4h_ema=25 | 4h_dist=0.008,2,False,False,False,False,Uses a 4H confirmation filter with EMA 25 and minimum distance 0.008.
49,220,short_cand_070_DOGE_USDT__4h_ema20_dist0.008,DOGE/USDT,short,80,20,0.236,0.686,0.044,0.028,10,True,close_below_ema,20,0.008,"1D, 4H->1D",54,34,0.5925925925925926,2.467670814552844,133.25422398585357,0.0266508447971707,5133.254223985861,5139.721624517192,83.63047236867351,1.636141282697115,False,8.755194633008571,True,4,220,short_cand_070_DOGE_USDT,DOGE/USDT,short,80,20,0.236,0.686,0.044,0.028,10,True,close_below_ema,20,0.008,74,0.2567567567567567,-6.422161038714196,-475.23991686485056,-0.047523991686485,0.7568669777472563,0.5941668738089315,0.7954401210169623,0.7286470553370628,71.82625959345776,1.363858717302885,11.244805366991429,0.592593,2.467671,1.636141,8.755195,1,DOGE/USDT | fib=0.686 | rw_lb=10 | 4h_ema=20 | 4h_dist=0.008,4,False,False,False,False,Uses a 4H confirmation filter with EMA 20 and minimum distance 0.008.
50,122,short_cand_088_ETH_USDT__4h_ema20_dist0.004,ETH/USDT,short,75,20,0.236,0.586,0.011,0.023,8,True,close_below_ema,20,0.004,"1D, 4H->1D",74,48,0.5945945945945946,2.419963787458021,179.07732027189357,0.0358154640543787,5179.077320271906,5194.185067686649,95.82613143602248,1.8448732609117615,False,6.514876729757368,True,4,122,short_cand_088_ETH_USDT,ETH/USDT,short,75,20,0.236,0.586,0.011,0.023,8,True,close_below_ema,20,0.004,115,0.3043478260869565,77.15514409978626,8872.84157147542,0.8872841571475419,0.7318492480647271,0.6138823387145537,0.6580983476127795,0.8740657641367762,71.6050643851204,1.1551267390882385,13.485123270242632,0.594595,2.419964,1.844873,6.514877,1,ETH/USDT | fib=0.586 | rw_lb=8 | 4h_ema=20 | 4h_dist=0.004,2,False,False,False,False,Uses a 4H confirmation filter with EMA 20 and minimum distance 0.004.
51,164,short_cand_081_ETH_USDT__4h_ema15_dist0.004,ETH/USDT,short,80,20,0.236,0.586,0.047,0.038,8,True,close_below_ema,15,0.004,"1D, 4H->1D",62,40,0.5967741935483871,2.526638559211445,156.65159067110957,0.0313303181342219,5156.651590671119,5172.381425760721,100.46744240747012,1.9635565583227093,False,7.447525184190991,True,4,164,short_cand_081_ETH_USDT,ETH/USDT,short,80,20,0.236,0.586,0.047,0.038,8,True,close_below_ema,15,0.004,85,0.3176470588235294,46.87693848433863,3984.539771168784,0.3984539771168783,0.7877898665897132,0.6353467561521253,0.5800069373780067,0.8135276887989126,71.3270067579815,1.0364434416772907,12.55247481580901,0.596774,2.526639,1.963557,7.447525,1,ETH/USDT | fib=0.586 | rw_lb=8 | 4h_ema=15 | 4h_dist=0.004,2,False,False,False,False,Uses a 4H confirmation filter with EMA 15 and minimum distance 0.004.
52,25,short_cand_071_DOGE_USDT__4h_ema25_dist0.008,DOGE/USDT,short,70,20,0.236,0.386,0.017,0.033,8,True,close_below_ema,25,0.008,"1D, 4H->1D",72,47,0.5972222222222222,2.239612159594884,161.25207549083166,0.0322504150981663,5161.252075490844,5166.922094997121,81.7186352081053,1.6076265305007906,False,7.235048994659299,True,4,25,short_cand_071_DOGE_USDT,DOGE/USDT,short,70,20,0.236,0.386,0.017,0.033,8,True,close_below_ema,25,0.008,91,0.3076923076923077,171.34800369404678,15592.668336158256,1.5592668336158255,0.6372722318797528,0.6397588864031815,0.8142022995212869,0.8273194873144456,71.12893601258553,1.3923734694992094,12.764951005340702,0.597222,2.239612,1.607627,7.235049,1,DOGE/USDT | fib=0.386 | rw_lb=8 | 4h_ema=25 | 4h_dist=0.008,1,False,False,False,False,Uses a 4H confirmation filter with EMA 25 and minimum distance 0.008.
53,176,short_cand_087_ETH_USDT__4h_ema25_dist0.000,ETH/USDT,short,65,20,0.236,0.486,0.011,0.023,8,True,close_below_ema,25,0.0,"1D, 4H->1D",73,49,0.6027397260273972,2.29116967728901,167.25538644209774,0.0334510772884195,5167.255386442111,5189.18506768665,93.1031792991771,1.8228589116999272,False,6.975360802927301,True,4,176,short_cand_087_ETH_USDT,ETH/USDT,short,65,20,0.236,0.486,0.011,0.023,8,True,close_below_ema,25,0.0,104,0.2884615384615384,42.41387775918759,4411.043286955509,0.4411043286955509,0.6643091721235903,0.6940945726456431,0.6725833814200246,0.8441758100164141,70.93836916919551,1.1771410883000728,13.024639197072698,0.60274,2.29117,1.822859,6.975361,1,ETH/USDT | fib=0.486 | rw_lb=8 | 4h_ema=25 | 4h_dist=0.000,3,False,False,False,False,Uses a 4H confirmation filter with EMA 25 and minimum distance 0.000.
54,99,short_cand_082_ETH_USDT__4h_ema30_dist0.000,ETH/USDT,short,75,20,0.236,0.486,0.011,0.023,8,True,close_below_ema,30,0.0,"1D, 4H->1D",72,48,0.5972222222222222,2.3172387451673924,166.84118965205224,0.0333682379304104,5166.841189652065,5181.0887171776685,90.07499507925058,1.764146028378219,False,6.992677702069576,True,4,99,short_cand_082_ETH_USDT,ETH/USDT,short,75,20,0.236,0.486,0.011,0.023,8,True,close_below_ema,30,0.0,103,0.2718446601941747,103.84774330992973,10696.31756092276,1.069631756092276,0.6779798813036148,0.6397588864031815,0.7112153705672937,0.84305177261528,70.80861086935752,1.235853971621781,13.007322297930424,0.597222,2.317239,1.764146,6.992678,1,ETH/USDT | fib=0.486 | rw_lb=8 | 4h_ema=30 | 4h_dist=0.000,3,False,False,False,False,Uses a 4H confirmation filter with EMA 30 and minimum distance 0.000.
