month,monthly_return_pct,month_end_equity
2024-11,-0.07994411481834218,5010.000000000002
2024-12,-0.20945624246940797,4999.506242252284
2025-01,0.4854197140366834,5023.774831156671
2025-02,1.7685705798597073,5112.6238348189045
2025-03,-0.22541212575127867,5101.099360751173
2025-04,0.6554693998197081,5134.535506115295
2025-05,0.13443612724184373,5141.438176801574
2025-06,-0.2190549156032673,5130.175603742587
2025-07,0.6830919359003929,5165.219419589282
2025-08,0.5765598320526033,5195.000000000015
2025-09,0.46528951896687154,5219.171790510343
2025-10,0.07944549748988283,5223.318187504166
2025-11,1.517004994816018,5302.556185303738
2025-12,0.5417347044429421,5331.281972382114
2026-01,0.1947879391555718,5341.66666666669
2026-02,0.03918174218173753,5343.759624728231
2026-03,0.21079138357686933,5355.023809576218
