month,monthly_return_pct,month_end_equity,friction_preset
2023-07,-1.3950740305352816,4878.026878536981,frictionless_reference
2023-08,1.5437892547845333,4953.333333333336,frictionless_reference
2023-09,0.18130476754893987,4962.31396281926,frictionless_reference
2023-10,1.2038369564706608,5022.052132199782,frictionless_reference
2023-11,0.47877227818897694,5046.096325604953,frictionless_reference
2023-12,0.04075827939826748,5048.153027644048,frictionless_reference
2024-01,-0.9868895423314372,4998.333333333341,frictionless_reference
2024-02,-1.412437831890212,4927.734982369362,frictionless_reference
2024-03,0.0,4927.734982369362,frictionless_reference
2024-04,0.0,4927.734982369362,frictionless_reference
2024-05,0.0,4927.734982369362,frictionless_reference
2024-06,0.0,4927.734982369362,frictionless_reference
2024-07,0.0,4927.734982369362,frictionless_reference
2024-08,0.0,4927.734982369362,frictionless_reference
2024-09,0.0,4927.734982369362,frictionless_reference
2024-10,0.0,4927.734982369362,frictionless_reference
2024-11,0.0,4927.734982369362,frictionless_reference
2024-12,0.0,4927.734982369362,frictionless_reference
2025-01,0.0,4927.734982369362,frictionless_reference
2025-02,0.0,4927.734982369362,frictionless_reference
2025-03,0.0,4927.734982369362,frictionless_reference
2025-04,0.0,4927.734982369362,frictionless_reference
2025-05,0.0,4927.734982369362,frictionless_reference
2025-06,0.0,4927.734982369362,frictionless_reference
2025-07,0.0,4927.734982369362,frictionless_reference
2025-08,0.0,4927.734982369362,frictionless_reference
2025-09,0.0,4927.734982369362,frictionless_reference
2025-10,0.0,4927.734982369362,frictionless_reference
2025-11,0.0,4927.734982369362,frictionless_reference
2025-12,0.0,4927.734982369362,frictionless_reference
2026-01,0.0,4927.734982369362,frictionless_reference
2026-02,0.0,4927.734982369362,frictionless_reference
2026-03,0.0,4927.734982369362,frictionless_reference
2023-07,-1.44979029031298,4878.339770288375,baseline
2023-08,1.4860244556101465,4950.833092302616,baseline
2023-09,0.15324937992649001,4958.420213317765,baseline
2023-10,1.2837762140127218,5022.075232607138,baseline
2023-11,0.4553434175293969,5044.942921602189,baseline
2023-12,0.02472380670357488,5046.190223538431,baseline
2024-01,-0.986433640486839,4996.41290561049,baseline
2024-02,-1.4176552661565256,4925.580994935179,baseline
2024-03,0.0,4925.580994935179,baseline
2024-04,0.0,4925.580994935179,baseline
2024-05,0.0,4925.580994935179,baseline
2024-06,0.0,4925.580994935179,baseline
2024-07,0.0,4925.580994935179,baseline
2024-08,0.0,4925.580994935179,baseline
2024-09,0.0,4925.580994935179,baseline
2024-10,0.0,4925.580994935179,baseline
2024-11,0.0,4925.580994935179,baseline
2024-12,0.0,4925.580994935179,baseline
2025-01,0.0,4925.580994935179,baseline
2025-02,0.0,4925.580994935179,baseline
2025-03,0.0,4925.580994935179,baseline
2025-04,0.0,4925.580994935179,baseline
2025-05,0.0,4925.580994935179,baseline
2025-06,0.0,4925.580994935179,baseline
2025-07,0.0,4925.580994935179,baseline
2025-08,0.0,4925.580994935179,baseline
2025-09,0.0,4925.580994935179,baseline
2025-10,0.0,4925.580994935179,baseline
2025-11,0.0,4925.580994935179,baseline
2025-12,0.0,4925.580994935179,baseline
2026-01,0.0,4925.580994935179,baseline
2026-02,0.0,4925.580994935179,baseline
2026-03,0.0,4925.580994935179,baseline
2023-07,-1.5129299286575582,4845.336460558677,stress
2023-08,0.0,4845.336460558677,stress
2023-09,0.0,4845.336460558677,stress
2023-10,0.0,4845.336460558677,stress
2023-11,0.0,4845.336460558677,stress
2023-12,0.0,4845.336460558677,stress
2024-01,0.0,4845.336460558677,stress
2024-02,0.0,4845.336460558677,stress
2024-03,0.0,4845.336460558677,stress
2024-04,0.0,4845.336460558677,stress
2024-05,0.0,4845.336460558677,stress
2024-06,0.0,4845.336460558677,stress
2024-07,0.0,4845.336460558677,stress
2024-08,0.0,4845.336460558677,stress
2024-09,0.0,4845.336460558677,stress
2024-10,0.0,4845.336460558677,stress
2024-11,0.0,4845.336460558677,stress
2024-12,0.0,4845.336460558677,stress
2025-01,0.0,4845.336460558677,stress
2025-02,0.0,4845.336460558677,stress
2025-03,0.0,4845.336460558677,stress
2025-04,0.0,4845.336460558677,stress
2025-05,0.0,4845.336460558677,stress
2025-06,0.0,4845.336460558677,stress
2025-07,0.0,4845.336460558677,stress
2025-08,0.0,4845.336460558677,stress
2025-09,0.0,4845.336460558677,stress
2025-10,0.0,4845.336460558677,stress
2025-11,0.0,4845.336460558677,stress
2025-12,0.0,4845.336460558677,stress
2026-01,0.0,4845.336460558677,stress
2026-02,0.0,4845.336460558677,stress
2026-03,0.0,4845.336460558677,stress
