symbol,sma,ema,fib_min,fib_max,rw,eb,total_return,sharpe,total_trades,win_rate,expectancy
BTC/USDT,30,12,0.55,0.786,0.03,0.005,0.0,,1,0.0,-10.0
BTC/USDT,30,12,0.55,0.786,0.03,0.01,-0.006205644220957219,,2,0.0,-36.0567626953125
BTC/USDT,30,12,0.55,0.786,0.03,0.015,-0.006205644220957219,,2,0.0,-36.0567626953125
BTC/USDT,30,12,0.618,0.618,0.01,0.005,0.0,,0,0.0,0.0
BTC/USDT,30,12,0.618,0.618,0.01,0.01,0.0,,0,0.0,0.0
BTC/USDT,30,12,0.618,0.618,0.01,0.015,0.0,,0,0.0,0.0
BTC/USDT,30,12,0.618,0.618,0.02,0.005,0.0,,0,0.0,0.0
BTC/USDT,30,12,0.618,0.618,0.02,0.01,0.0,,0,0.0,0.0
BTC/USDT,30,12,0.618,0.618,0.02,0.015,0.0,,0,0.0,0.0
BTC/USDT,30,12,0.618,0.618,0.03,0.005,0.0,,0,0.0,0.0
BTC/USDT,30,12,0.618,0.618,0.03,0.01,0.0,,0,0.0,0.0
BTC/USDT,30,12,0.618,0.618,0.03,0.015,0.0,,0,0.0,0.0
BTC/USDT,30,12,0.618,0.7,0.01,0.005,0.0023029260126260854,,1,1.0,23.057302474975586
BTC/USDT,30,12,0.618,0.7,0.01,0.01,-0.02046095529087288,,3,0.3333333333333333,-68.43581136067708
BTC/USDT,30,12,0.618,0.7,0.01,0.015,-0.02046095529087288,,3,0.3333333333333333,-68.43581136067708
BTC/USDT,30,12,0.618,0.7,0.02,0.005,0.003908845401344479,,1,1.0,39.132564544677734
BTC/USDT,30,12,0.618,0.7,0.02,0.01,-0.0023210557234884617,,2,0.5,-11.490482330322266
BTC/USDT,30,12,0.618,0.7,0.02,0.015,-0.0023210557234884617,,2,0.5,-11.490482330322266
BTC/USDT,30,12,0.618,0.7,0.03,0.005,0.0,,0,0.0,0.0
BTC/USDT,30,12,0.618,0.7,0.03,0.01,-0.006205644220957219,,1,0.0,-62.113529205322266
BTC/USDT,30,12,0.618,0.7,0.03,0.015,-0.006205644220957219,,1,0.0,-62.113529205322266
BTC/USDT,30,12,0.618,0.786,0.01,0.005,0.0023029260126260854,,1,1.0,23.057302474975586
BTC/USDT,30,12,0.618,0.786,0.01,0.01,-0.02046095529087288,,3,0.3333333333333333,-68.43581136067708
BTC/USDT,30,12,0.618,0.786,0.01,0.015,-0.02046095529087288,,3,0.3333333333333333,-68.43581136067708
BTC/USDT,30,12,0.618,0.786,0.02,0.005,0.003908845401344479,,1,1.0,39.132564544677734
BTC/USDT,30,12,0.618,0.786,0.02,0.01,-0.0023210557234884617,,2,0.5,-11.490482330322266
BTC/USDT,30,12,0.618,0.786,0.02,0.015,-0.0023210557234884617,,2,0.5,-11.490482330322266
BTC/USDT,30,12,0.618,0.786,0.03,0.005,0.0,,0,0.0,0.0
BTC/USDT,30,12,0.618,0.786,0.03,0.01,-0.006205644220957219,,1,0.0,-62.113529205322266
BTC/USDT,30,12,0.618,0.786,0.03,0.015,-0.006205644220957219,,1,0.0,-62.113529205322266
BTC/USDT,30,15,0.5,0.618,0.01,0.005,-0.003943228504882791,,16,0.0625,-9.125914573669434
BTC/USDT,30,15,0.5,0.618,0.01,0.01,-0.005105872620576338,,17,0.058823529411764705,-9.861043593462776
BTC/USDT,30,15,0.5,0.618,0.01,0.015,-0.005105872620576338,,17,0.058823529411764705,-9.861043593462776
BTC/USDT,30,15,0.5,0.618,0.02,0.005,-0.006235046979143226,,3,0.0,-24.166727701822918
BTC/USDT,30,15,0.5,0.618,0.02,0.01,-0.0152888159958904,,4,0.0,-40.92301940917969
BTC/USDT,30,15,0.5,0.618,0.02,0.015,-0.0152888159958904,,4,0.0,-40.92301940917969
BTC/USDT,30,15,0.5,0.618,0.03,0.005,0.0,,1,0.0,-10.0
BTC/USDT,30,15,0.5,0.618,0.03,0.01,0.0,,1,0.0,-10.0
BTC/USDT,30,15,0.5,0.618,0.03,0.015,0.0,,1,0.0,-10.0
BTC/USDT,30,15,0.5,0.7,0.01,0.005,-0.007844792189801046,,18,0.1111111111111111,-10.281717088487413
BTC/USDT,30,15,0.5,0.7,0.01,0.01,-0.02546235688003835,,20,0.1,-18.64726104736328
BTC/USDT,30,15,0.5,0.7,0.01,0.015,-0.02546235688003835,,20,0.1,-18.64726104736328
BTC/USDT,30,15,0.5,0.7,0.02,0.005,-0.00854163081115421,,5,0.2,-19.096231079101564
BTC/USDT,30,15,0.5,0.7,0.02,0.01,-0.017574385525505932,,6,0.16666666666666666,-31.11217498779297
BTC/USDT,30,15,0.5,0.7,0.02,0.015,-0.017574385525505932,,6,0.16666666666666666,-31.11217498779297
BTC/USDT,30,15,0.5,0.7,0.03,0.005,-0.006205644220957219,,2,0.0,-36.0567626953125
BTC/USDT,30,15,0.5,0.7,0.03,0.01,-0.006205644220957219,,2,0.0,-36.0567626953125
BTC/USDT,30,15,0.5,0.7,0.03,0.015,-0.006205644220957219,,2,0.0,-36.0567626953125
BTC/USDT,30,15,0.5,0.786,0.01,0.005,-0.007844792189801046,,18,0.1111111111111111,-10.281717088487413
