combined_rank,param_id,daily_param_id,source_symbol,side,sma,ema,fib_floor,fib_band,rw,eb,rw_lookback,confirm_enabled,confirm_mode,confirm_ema_period,confirm_min_distance,total_trades,win_rate,expectancy,total_profit,total_return
1,short_cand_062_DOGE_USDT__4h_ema20_dist0.000,short_cand_062_DOGE_USDT,DOGE/USDT,short,75,20,0.236,0.686,0.05,0.028,10,True,close_below_ema,20,0.0,71,0.3380281690140845,220.30416409295518,15641.595650599818,1.5641595650599818
2,short_cand_061_DOGE_USDT__4h_ema20_dist0.000,short_cand_061_DOGE_USDT,DOGE/USDT,short,80,20,0.236,0.686,0.05,0.028,10,True,close_below_ema,20,0.0,73,0.3287671232876712,203.78880407688715,14876.582697612761,1.4876582697612761
3,short_cand_062_DOGE_USDT__4h_ema15_dist0.000,short_cand_062_DOGE_USDT,DOGE/USDT,short,75,20,0.236,0.686,0.05,0.028,10,True,close_below_ema,15,0.0,72,0.3194444444444444,188.26182507163168,13554.85140515748,1.355485140515748
4,short_cand_061_DOGE_USDT__4h_ema15_dist0.000,short_cand_061_DOGE_USDT,DOGE/USDT,short,80,20,0.236,0.686,0.05,0.028,10,True,close_below_ema,15,0.0,75,0.32,171.04715451540088,12828.536588655066,1.2828536588655066
5,short_cand_062_DOGE_USDT__4h_ema30_dist0.004,short_cand_062_DOGE_USDT,DOGE/USDT,short,75,20,0.236,0.686,0.05,0.028,10,True,close_below_ema,30,0.004,70,0.3142857142857143,139.34372148204892,9754.060503743425,0.9754060503743425
6,short_cand_062_DOGE_USDT__4h_ema25_dist0.004,short_cand_062_DOGE_USDT,DOGE/USDT,short,75,20,0.236,0.686,0.05,0.028,10,True,close_below_ema,25,0.004,70,0.3142857142857143,133.72097878204596,9360.468514743217,0.9360468514743218
