combined_rank,param_id,daily_param_id,source_symbol,side,sma,ema,fib_floor,fib_band,rw,eb,rw_lookback,confirm_enabled,confirm_mode,confirm_ema_period,confirm_min_distance,total_trades,win_rate,expectancy,total_profit,total_return
180,short_cand_084_ETH_USDT__4h_ema30_dist0.008,short_cand_084_ETH_USDT,ETH/USDT,short,80,20,0.236,0.486,0.011,0.023,8,True,close_below_ema,30,0.008,92,0.2826086956521739,38.06433642934268,3501.9189514995264,0.35019189514995264
181,short_cand_087_ETH_USDT__4h_ema20_dist0.004,short_cand_087_ETH_USDT,ETH/USDT,short,65,20,0.236,0.486,0.011,0.023,8,True,close_below_ema,20,0.004,92,0.2826086956521739,37.964190571370885,3492.7055325661213,0.3492705532566121
182,short_cand_087_ETH_USDT__4h_ema25_dist0.004,short_cand_087_ETH_USDT,ETH/USDT,short,65,20,0.236,0.486,0.011,0.023,8,True,close_below_ema,25,0.004,100,0.28,35.645291505120944,3564.5291505120945,0.35645291505120946
183,short_cand_086_ETH_USDT__4h_ema25_dist0.004,short_cand_086_ETH_USDT,ETH/USDT,short,65,20,0.236,0.536,0.008,0.023,8,True,close_below_ema,25,0.004,120,0.2916666666666667,35.61845931583625,4274.2151179003495,0.42742151179003496
184,short_cand_061_DOGE_USDT__4h_ema20_dist0.008,short_cand_061_DOGE_USDT,DOGE/USDT,short,80,20,0.236,0.686,0.05,0.028,10,True,close_below_ema,20,0.008,63,0.2698412698412698,35.488238060871915,2235.7589978349306,0.22357589978349307
185,short_cand_087_ETH_USDT__4h_ema30_dist0.004,short_cand_087_ETH_USDT,ETH/USDT,short,65,20,0.236,0.486,0.011,0.023,8,True,close_below_ema,30,0.004,101,0.27722772277227725,34.667637914146944,3501.431429328841,0.3501431429328841
186,short_cand_084_ETH_USDT__4h_ema15_dist0.000,short_cand_084_ETH_USDT,ETH/USDT,short,80,20,0.236,0.486,0.011,0.023,8,True,close_below_ema,15,0.0,91,0.2967032967032967,34.6513210448729,3153.2702150834343,0.3153270215083434
187,short_cand_087_ETH_USDT__4h_ema30_dist0.000,short_cand_087_ETH_USDT,ETH/USDT,short,65,20,0.236,0.486,0.011,0.023,8,True,close_below_ema,30,0.0,105,0.2761904761904762,33.98706193932489,3568.6415036291137,0.35686415036291136
188,short_cand_086_ETH_USDT__4h_ema15_dist0.000,short_cand_086_ETH_USDT,ETH/USDT,short,65,20,0.236,0.536,0.008,0.023,8,True,close_below_ema,15,0.0,105,0.3047619047619048,33.639890651776334,3532.188518436515,0.3532188518436515
189,short_cand_078_ETH_USDT__4h_ema20_dist0.000,short_cand_078_ETH_USDT,ETH/USDT,short,80,20,0.236,0.536,0.011,0.023,8,True,close_below_ema,20,0.0,108,0.3055555555555556,33.28183029901391,3594.437672293502,0.35944376722935023
190,short_cand_070_DOGE_USDT__4h_ema15_dist0.008,short_cand_070_DOGE_USDT,DOGE/USDT,short,80,20,0.236,0.686,0.044,0.028,10,True,close_below_ema,15,0.008,69,0.2608695652173913,26.68676327183522,1841.38666575663,0.184138666575663
191,short_cand_076_ETH_USDT__4h_ema15_dist0.008,short_cand_076_ETH_USDT,ETH/USDT,short,75,20,0.236,0.536,0.011,0.023,8,True,close_below_ema,15,0.008,66,0.2727272727272727,26.133560663484023,1724.8150037899454,0.17248150037899454
192,short_cand_075_DOGE_USDT__4h_ema20_dist0.008,short_cand_075_DOGE_USDT,DOGE/USDT,short,80,20,0.236,0.636,0.041,0.028,10,True,close_below_ema,20,0.008,72,0.2638888888888889,25.813759443644862,1858.5906799424301,0.185859067994243
193,short_cand_084_ETH_USDT__4h_ema15_dist0.004,short_cand_084_ETH_USDT,ETH/USDT,short,80,20,0.236,0.486,0.011,0.023,8,True,close_below_ema,15,0.004,76,0.2894736842105263,25.265533901718722,1920.1805765306228,0.1920180576530623
194,short_cand_086_ETH_USDT__4h_ema25_dist0.008,short_cand_086_ETH_USDT,ETH/USDT,short,65,20,0.236,0.536,0.008,0.023,8,True,close_below_ema,25,0.008,108,0.2962962962962963,24.59715857302114,2656.493125886283,0.2656493125886283
195,short_cand_063_DOGE_USDT__4h_ema15_dist0.004,short_cand_063_DOGE_USDT,DOGE/USDT,short,80,20,0.236,0.636,0.05,0.043,10,True,close_below_ema,15,0.004,117,0.3076923076923077,24.442357353685278,2859.7558103811775,0.28597558103811777
196,short_cand_084_ETH_USDT__4h_ema25_dist0.000,short_cand_084_ETH_USDT,ETH/USDT,short,80,20,0.236,0.486,0.011,0.023,8,True,close_below_ema,25,0.0,103,0.2815533980582524,24.020574797247342,2474.1192041164763,0.24741192041164764
197,short_cand_084_ETH_USDT__4h_ema30_dist0.004,short_cand_084_ETH_USDT,ETH/USDT,short,80,20,0.236,0.486,0.011,0.023,8,True,close_below_ema,30,0.004,98,0.2755102040816326,23.558819098591975,2308.7642716620135,0.23087642716620135
198,short_cand_078_ETH_USDT__4h_ema25_dist0.008,short_cand_078_ETH_USDT,ETH/USDT,short,80,20,0.236,0.536,0.011,0.023,8,True,close_below_ema,25,0.008,99,0.30303030303030304,22.464775861616587,2224.012810300042,0.2224012810300042
199,short_cand_084_ETH_USDT__4h_ema30_dist0.000,short_cand_084_ETH_USDT,ETH/USDT,short,80,20,0.236,0.486,0.011,0.023,8,True,close_below_ema,30,0.0,103,0.27184466019417475,20.68192728108595,2130.238509951853,0.21302385099518528
200,short_cand_084_ETH_USDT__4h_ema20_dist0.004,short_cand_084_ETH_USDT,ETH/USDT,short,80,20,0.236,0.486,0.011,0.023,8,True,close_below_ema,20,0.004,93,0.27956989247311825,20.59228313440046,1915.0823314992429,0.1915082331499243
201,short_cand_084_ETH_USDT__4h_ema25_dist0.004,short_cand_084_ETH_USDT,ETH/USDT,short,80,20,0.236,0.486,0.011,0.023,8,True,close_below_ema,25,0.004,98,0.2755102040816326,20.16467573100266,1976.1382216382606,0.19761382216382606
202,short_cand_081_ETH_USDT__4h_ema15_dist0.008,short_cand_081_ETH_USDT,ETH/USDT,short,80,20,0.236,0.586,0.047,0.038,8,True,close_below_ema,15,0.008,81,0.2962962962962963,19.164401614667916,1552.316530788101,0.15523165307881012
203,short_cand_087_ETH_USDT__4h_ema15_dist0.000,short_cand_087_ETH_USDT,ETH/USDT,short,65,20,0.236,0.486,0.011,0.023,8,True,close_below_ema,15,0.0,89,0.29213483146067415,18.582832456799387,1653.8720886551455,0.16538720886551456
204,short_cand_086_ETH_USDT__4h_ema30_dist0.008,short_cand_086_ETH_USDT,ETH/USDT,short,65,20,0.236,0.536,0.008,0.023,8,True,close_below_ema,30,0.008,115,0.28695652173913044,14.533104157807433,1671.3069781478548,0.16713069781478548
205,short_cand_087_ETH_USDT__4h_ema25_dist0.008,short_cand_087_ETH_USDT,ETH/USDT,short,65,20,0.236,0.486,0.011,0.023,8,True,close_below_ema,25,0.008,91,0.27472527472527475,14.519516639030748,1321.276014151798,0.13212760141517982
206,short_cand_063_DOGE_USDT__4h_ema15_dist0.008,short_cand_063_DOGE_USDT,DOGE/USDT,short,80,20,0.236,0.636,0.05,0.043,10,True,close_below_ema,15,0.008,111,0.3063063063063063,13.85126876755143,1537.4908331982087,0.15374908331982087
207,short_cand_087_ETH_USDT__4h_ema30_dist0.008,short_cand_087_ETH_USDT,ETH/USDT,short,65,20,0.236,0.486,0.011,0.023,8,True,close_below_ema,30,0.008,95,0.2736842105263158,13.556758331075901,1287.8920414522106,0.12878920414522105
208,short_cand_088_ETH_USDT__4h_ema15_dist0.008,short_cand_088_ETH_USDT,ETH/USDT,short,75,20,0.236,0.586,0.011,0.023,8,True,close_below_ema,15,0.008,75,0.29333333333333333,11.911156375663664,893.3367281747747,0.08933367281747748
209,short_cand_063_DOGE_USDT__4h_ema20_dist0.008,short_cand_063_DOGE_USDT,DOGE/USDT,short,80,20,0.236,0.636,0.05,0.043,10,True,close_below_ema,20,0.008,116,0.3017241379310345,11.603251075007488,1345.9771247008687,0.13459771247008687
210,short_cand_078_ETH_USDT__4h_ema30_dist0.008,short_cand_078_ETH_USDT,ETH/USDT,short,80,20,0.236,0.536,0.011,0.023,8,True,close_below_ema,30,0.008,105,0.29523809523809524,9.37574271775162,984.4529853639201,0.09844529853639201
211,short_cand_084_ETH_USDT__4h_ema20_dist0.008,short_cand_084_ETH_USDT,ETH/USDT,short,80,20,0.236,0.486,0.011,0.023,8,True,close_below_ema,20,0.008,76,0.2894736842105263,9.305897189047801,707.2481863676329,0.07072481863676329
212,short_cand_086_ETH_USDT__4h_ema20_dist0.008,short_cand_086_ETH_USDT,ETH/USDT,short,65,20,0.236,0.536,0.008,0.023,8,True,close_below_ema,20,0.008,93,0.3010752688172043,9.16469166752496,852.3163250798211,0.08523163250798212
