timeframe,symbol,timestamp,close,sma50,ema20
1D,BTC/USDT,2023-04-02T00:00:00,28171.87,28171.87,28171.87
1D,BTC/USDT,2023-11-06T00:00:00,35046.09,29584.148400000002,33236.91718492319
1D,BTC/USDT,2024-06-12T00:00:00,68263.99,65951.87060000001,68553.91646131082
1D,BTC/USDT,2025-01-17T00:00:00,104077.48,97850.9556,97501.16658157819
1D,BTC/USDT,2025-08-24T00:00:00,113493.59,116470.5132,115999.91161957048
1D,BTC/USDT,2026-03-31T00:00:00,66734.69,68667.3064,68740.52220935718
1D,DOGE/USDT,2023-04-02T00:00:00,0.07903,0.07903,0.07903
1D,DOGE/USDT,2023-11-06T00:00:00,0.07637,0.0632686,0.0677104981571928
1D,DOGE/USDT,2024-06-12T00:00:00,0.14621,0.1530202,0.1532271630694044
1D,DOGE/USDT,2025-01-17T00:00:00,0.41525,0.37172499999999997,0.3589486564297102
1D,DOGE/USDT,2025-08-24T00:00:00,0.23182,0.2200186,0.22621931528283687
1D,DOGE/USDT,2026-03-31T00:00:00,0.09058,0.0949562,0.09303894164586736
1D,ETH/USDT,2023-04-02T00:00:00,1794.51,1794.51,1794.51
1D,ETH/USDT,2023-11-06T00:00:00,1900.95,1672.0603999999998,1780.4925931902608
1D,ETH/USDT,2024-06-12T00:00:00,3560.12,3387.1538,3649.6066391658624
1D,ETH/USDT,2025-01-17T00:00:00,3473.63,3559.5503999999996,3385.667520393672
1D,ETH/USDT,2025-08-24T00:00:00,4780.15,3762.2083999999995,4323.550701743866
1D,ETH/USDT,2026-03-31T00:00:00,2049.53,2038.7158000000002,2075.406625156489
1D,LINK/USDT,2023-04-02T00:00:00,7.255,7.255,7.255
1D,LINK/USDT,2023-11-06T00:00:00,12.984,8.64546,10.693577305859272
1D,LINK/USDT,2024-06-12T00:00:00,16.006,15.675680000000002,16.63852349390233
1D,LINK/USDT,2025-01-17T00:00:00,25.09,23.167800000000003,21.944232119617563
1D,LINK/USDT,2025-08-24T00:00:00,25.82,19.227800000000002,23.233089493859158
1D,LINK/USDT,2026-03-31T00:00:00,8.65,8.8874,8.886272535127388
1D,SOL/USDT,2023-04-02T00:00:00,20.52,20.52,20.52
1D,SOL/USDT,2023-11-06T00:00:00,42.16,26.4342,34.85824454834785
1D,SOL/USDT,2024-06-12T00:00:00,155.22,156.917,162.39358502083766
1D,SOL/USDT,2025-01-17T00:00:00,219.51,209.043,200.5849046690282
1D,SOL/USDT,2025-08-24T00:00:00,205.98,177.66459999999998,187.63791702206998
1D,SOL/USDT,2026-03-31T00:00:00,80.76,85.74939999999998,86.16373527207708
1D,TON/USDT,2024-08-08T00:00:00,6.218,6.218,6.218
1D,TON/USDT,2024-12-06T00:00:00,6.798,5.535799999999999,6.298988438261504
1D,TON/USDT,2025-04-05T00:00:00,3.258,3.4541399999999998,3.6205306226456146
1D,TON/USDT,2025-08-03T00:00:00,3.559,3.0512600000000005,3.3147450217535646
1D,TON/USDT,2025-12-01T00:00:00,1.503,1.96472,1.684370939641037
1D,TON/USDT,2026-03-31T00:00:00,1.217,1.31506,1.2690813769001774
1D,XRP/USDT,2023-04-02T00:00:00,0.518,0.518,0.518
1D,XRP/USDT,2023-11-06T00:00:00,0.7148,0.533054,0.5860474923918978
1D,XRP/USDT,2024-06-12T00:00:00,0.4916,0.5179480000000001,0.5094034379856132
1D,XRP/USDT,2025-01-17T00:00:00,3.2922,2.393406,2.606831824955151
1D,XRP/USDT,2025-08-24T00:00:00,3.0258,3.035292,3.0510952898812933
1D,XRP/USDT,2026-03-31T00:00:00,1.3192,1.40147,1.3815823862041938
